Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1641,Parfait: Chocolat Second Style,PS2,2006,0.59,0.46,0.01,0.15,1.22
10236,Higurashi no Naku Koro ni Matsuri,PS2,2007,0,0,0.11,0,0.11
10725,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008,0,0,0.1,0,0.1
12025,Higurashi no Nakukoru ni Kizuna: Dai-Ichi-Kan - Tatari,DS,2008,0,0,0.07,0,0.07
12054,Higurashi no Naku Koro ni Matsuri: Kakera Asobi,PS2,2007,0,0,0.07,0,0.07
12422,Higurashi Daybreak Portable,PSP,2008,0,0,0.06,0,0.06
13583,Saki Portable,PSP,2010,0,0,0.04,0,0.04
14237,Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,2009,0,0,0.03,0,0.03
14428,Renai 0 Kilometer,PSP,2013,0,0,0.03,0,0.03
14615,Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,0,0,0.03,0,0.03
14676,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,0,0,0.03,0,0.03
14710,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011,0,0,0.03,0,0.03
14722,Saka Agari Hurricane Portable,PSP,2011,0,0,0.03,0,0.03
15045,Aria: The Origination ~Aoi Wakusei no El Cielo~,PS2,2008,0,0,0.02,0,0.02
15198,Akai Ito DS,DS,2008,0,0,0.02,0,0.02
15214,Koisuru Otome to Shugo no Tate: The Shield of AIGIS,PS2,2008,0,0,0.02,0,0.02
15220,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,0,0,0.02,0,0.02
15227,Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,PS3,2010,0,0,0.02,0,0.02
15265,Higurashi Daybreak Portable Mega Edition,PSP,2009,0,0,0.02,0,0.02
15331,Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,0,0,0.02,0,0.02
15360,Saki: Achiga-Hen Portable,PSP,2013,0,0,0.02,0,0.02
15466,Hana to Otome ni Shukufuku o: Harekaze no Okurimono,PS2,2010,0,0,0.02,0,0.02
15617,Koisuru Otome to Shugo no Tate Portable,PSP,2010,0,0,0.02,0,0.02
15626,Princess Frontier Portable,PSP,2011,0,0,0.02,0,0.02
15722,Suzunone Seven: Rebirth Knot,PS2,2010,0,0,0.02,0,0.02
16132,Umineko no Naku Koro ni Portable 1,PSP,2011,0,0,0.01,0,0.01
16168,Ouka Sengoku Portable,PSP,2012,0,0,0.01,0,0.01
16258,No Fate! Only the Power of Will,X360,2010,0,0,0.01,0,0.01
16280,Kono Aozora ni Yakusoku o: Melody of the Sun and Sea,PS2,2007,0,0,0.01,0,0.01
16346,Sekirei: Mirai Kara no Okurimono,PS2,2009,0,0,0.01,0,0.01
16529,Onigokko! Portable,PSP,2013,0,0,0.01,0,0.01
16562,Sugar + Spice! Anoko no Suteki na Nanimokamo,PS2,2008,0,0,0.01,0,0.01
