Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9223,To Heart,PS,1999,0,0,0.13,0.01,0.14
10137,To Heart 2: Dungeon Travelers,PSP,2011,0,0,0.11,0,0.11
10353,Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006,0,0,0.11,0,0.11
11845,Utawarerumono: Itsuwari no Kamen,PSV,2015,0,0,0.07,0,0.07
12694,Utawarerumono: Itsuwari no Kamen,PS4,2015,0,0,0.06,0,0.06
13077,To Heart 2: Dungeon Travelers,PSV,2015,0,0,0.05,0,0.05
13204,White Album: Tsuzurareru Fuyu no Omoide,PS3,2010,0,0,0.05,0,0.05
13318,To Heart 2 DX Plus,PS3,2011,0,0,0.05,0,0.05
13338,Utawarerumono: Itsuwari no Kamen,PS3,2015,0,0,0.05,0,0.05
13545,White Album 2: Shiawase no Mukougawa,PS3,2012,0,0,0.04,0,0.04
15847,White Album 2: Shiawase no Mukougawa,PSV,2013,0,0,0.02,0,0.02
16119,Tears to Tiara: Kakan no Daichi Portable,PSP,2010,0,0,0.01,0,0.01
16422,Routes PE,PS2,2007,0,0,0.01,0,0.01
