Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12556,Theresia...,DS,2008,0.06,0,0,0,0.06
13375,XBLAZE Code: Embryo,PSV,2013,0.03,0,0.01,0.01,0.05
14116,XBLAZE Code: Embryo,PS3,2013,0.02,0,0.01,0,0.03
14431,Tantei Jinguuji Saburo DS: Kienai Kokoro,DS,2008,0,0,0.03,0,0.03
14757,Xblaze: Lost Memories,PSV,2015,0.02,0,0,0.01,0.03
15367,Jinguuji Saburou DS: Akai Chou,DS,2010,0,0,0.02,0,0.02
15982,Xblaze: Lost Memories,PS3,2015,0.01,0,0,0,0.02
16128,Tantei Jinguuji Saburo DS: Fuserareta Shinjitsu,DS,2009,0,0,0.01,0,0.01
16188,Tantei Jinguuji Saburo: Hai to Diamond,PSP,2009,0,0,0.01,0,0.01
16438,Getsuei Gakuen: kou,PSV,2013,0,0,0.01,0,0.01
