Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1515,Adventure,2600,N/A,1.21,0.08,0,0.01,1.3
4060,Alone in the Dark,X360,2008,0.14,0.3,0,0.05,0.49
4782,Pengo,2600,1983,0.38,0.02,0,0,0.4
7238,Dragon Ball: Origins (JP & incomplete US sales),DS,2008,0.04,0,0.17,0,0.22
8041,Alone in the Dark,Wii,2008,0.09,0.08,0,0.02,0.18
8500,Kya: Dark Lineage,PS2,2003,0.08,0.06,0,0.02,0.16
8834,Indigo Prophecy,PS2,2005,0.07,0.06,0,0.02,0.15
9264,Alone in the Dark: Inferno,PS3,2008,0.09,0.03,0,0.02,0.14
10580,Pajama Sam: Don't Fear The Dark,Wii,2008,0.09,0,0,0.01,0.1
10668,Indigo Prophecy,XB,2005,0.07,0.03,0,0,0.1
11298,Prisoner of War,XB,2002,0.06,0.02,0,0,0.08
12013,Ghost in the Shell: Stand Alone Complex,PSP,2005,0.06,0,0,0.01,0.07
12419,Alone in the Dark,PS2,2008,0.03,0.02,0,0.01,0.06
13076,Sam & Max: Beyond Time and Space,Wii,2010,0.05,0,0,0,0.05
14292,Arthur and the Invisibles,DS,2007,0.03,0,0,0,0.03
15203,Indigo Prophecy,PC,2005,0,0.02,0,0,0.02
16396,Alone in the Dark,PC,2008,0,0.01,0,0,0.01
