Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
716,Onimusha 2: Samurai's Destiny,PS2,2002,0.62,0.44,1.06,0.13,2.25
1965,Apollo Justice: Ace Attorney,DS,2007,0.32,0.06,0.64,0.04,1.06
2084,Phoenix Wright: Ace Attorney,DS,2005,0.49,0.07,0.39,0.05,0.99
2494,Mega Man Legends,PS,1997,0.39,0.26,0.12,0.05,0.83
2716,Ace Attorney Investigations: Miles Edgeworth,DS,2009,0.27,0.15,0.3,0.04,0.76
3047,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,0.33,0.05,0.25,0.04,0.67
3486,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,0.24,0.05,0.26,0.03,0.58
4111,OkamiDen,DS,2010,0.25,0.07,0.13,0.03,0.48
4621,Ghost Trick: Phantom Detective,DS,2010,0.2,0.08,0.12,0.03,0.42
4667,Mega Man Legends 2,PS,2000,0.17,0.12,0.1,0.03,0.42
5023,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,0,0,0.38,0,0.38
5518,Clock Tower 3,PS2,2002,0.1,0.08,0.12,0.03,0.33
6392,Ace Attorney 6,3DS,2016,0,0,0.27,0,0.27
6502,Ace Attorney Investigations 2,DS,2011,0,0,0.26,0,0.26
8360,Gyakuten Saiban 3,GBA,2004,0,0,0.16,0,0.17
9976,Harvey Birdman: Attorney at Law,PS2,2008,0.06,0.04,0,0.01,0.12
10888,Harvey Birdman: Attorney at Law,PSP,2008,0.08,0,0,0.01,0.09
11155,Harvey Birdman: Attorney at Law,Wii,2008,0.08,0,0,0.01,0.09
14234,EverBlue 2,PS2,2002,0.02,0.01,0,0,0.03
15832,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,0,0,0.02,0,0.02
15874,Full House Kiss 2,PS2,2006,0,0,0.02,0,0.02
16167,Rosario to Vampire: Tanabata no Miss Youkai Gakuen,DS,2008,0,0,0.01,0,0.01
