Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2536,Kamaitachi no Yoru,SNES,1994,0,0,0.81,0,0.81
4543,"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,0.37,0,0.03,0.03,0.43
5177,Kamaitachi no Yoru 2,PS2,2002,0,0,0.36,0,0.36
8284,Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,0,0,0.16,0.01,0.17
8531,Otogirisou,SNES,1992,0,0,0.16,0,0.16
10990,Sound Novel Machi,SAT,1998,0,0,0.09,0,0.09
13381,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,2011,0,0,0.05,0,0.05
14458,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,2012,0,0,0.03,0,0.03
14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012,0,0,0.03,0,0.03
15686,Machi: Unmei no Kousaten,PSP,2006,0,0,0.02,0,0.02
16285,Kamaitachi no Yoru 2: Tokubetsu Hen,PSP,2006,0,0,0.01,0,0.01
