Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11934,Vampire Knight DS,DS,2009,0,0,0.07,0,0.07
12666,Vitamin X to Z,PSP,2011,0,0,0.06,0,0.06
13355,Shaun the Sheep,DS,2008,0.04,0,0,0,0.05
13980,Simple DS Series Vol. 15: The Kanshikikan 2 - Aratanaru 8-tsu no Jiken wo Touch seyo,DS,2007,0,0,0.04,0,0.04
14159,Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,2006,0,0,0.03,0,0.03
14307,Vitamin X Evolution,DS,2008,0,0,0.03,0,0.03
14328,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012,0,0,0.03,0,0.03
14388,Last Escort: Club Katze,PSP,2010,0,0,0.03,0,0.03
14437,StormLover,PSP,2010,0,0,0.03,0,0.03
14675,Vitamin Z,PS2,2009,0,0,0.03,0,0.03
14808,Galileo,DS,2008,0,0,0.03,0,0.03
14845,Last Escort 2: Shinya no Amai Toge,PS2,2008,0,0,0.03,0,0.03
15044,Vitamin Z Revolution,PSP,2010,0,0,0.02,0,0.02
15284,Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,0,0,0.02,0,0.02
15325,Last Escort,PS2,2006,0,0,0.02,0,0.02
15408,Vitamin R,PSP,2013,0,0,0.02,0,0.02
15458,StormLover Karen!!,PSP,2011,0,0,0.02,0,0.02
15623,Bakumatsu Renka: Karyuu Kenshi-den,PS2,2007,0,0,0.02,0,0.02
15727,Vitamin X Evolution Plus,PSP,2010,0,0,0.02,0,0.02
15842,Dream C Club: GoGo,PS3,2014,0,0,0.02,0,0.02
15947,Storm Lover 2nd V,PSV,2016,0,0,0.02,0,0.02
15960,Simple DS Series Vol. 42: The Haioku Byoutou,DS,2008,0,0,0.02,0,0.02
15976,Vitamin X: Detective B6,PSP,2012,0,0,0.02,0,0.02
15977,Misshitsu no Sacrifice,PSP,2010,0,0,0.02,0,0.02
16097,Bakumatsu Koihana: Shinsengumi DS,DS,2008,0,0,0.01,0,0.01
16114,Last Escort: Club Katze,PS2,2010,0,0,0.01,0,0.01
16361,Ishin Renka: Ryouma Gaiden,PSP,2010,0,0,0.01,0,0.01
16407,Vitamin X,PS2,2007,0,0,0.01,0,0.01
16424,Uchida Yasuou Mystery: Meitantei Senken Mitsuhiko Series: Fukutoshin Renzoku Satsujin Jiken,DS,2009,0,0,0.01,0,0.01
16466,Vitamin Y,DS,2008,0,0,0.01,0,0.01
16530,Hoshizora no Comic Garden,DS,2008,0,0,0.01,0,0.01
