Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2854,Catherine,PS3,2011,0.3,0.15,0.2,0.07,0.72
5687,Catherine,X360,2011,0.2,0.06,0.03,0.02,0.32
7220,Cursed Mountain,Wii,2009,0.09,0.1,0,0.02,0.22
9948,Lost Horizon,PC,2010,0,0.1,0,0.02,0.12
10464,The Whispered World,PC,2009,0,0.08,0,0.02,0.1
12417,A New Beginning,PC,2010,0,0.05,0,0.01,0.06
13055,Secret Files: Tunguska,DS,2008,0.04,0.01,0,0,0.05
13913,Secret Files 2: Puritas Cordis,PC,2009,0,0.03,0,0.01,0.04
14577,Secret Files 2: Puritas Cordis,Wii,2009,0,0.03,0,0,0.03
16589,Secret Files 2: Puritas Cordis,DS,2009,0,0.01,0,0,0.01
