Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
435,Club Penguin: Elite Penguin Force,DS,2008,1.88,0.98,0,0.3,3.16
1216,Disney Fairies: Tinker Bell,DS,2008,0.86,0.52,0.01,0.15,1.54
1297,Disney Princess: Magical Jewels,DS,2007,1.15,0.2,0,0.12,1.47
1410,Disney Princess: Enchanted Journey,Wii,2007,1.24,0.04,0,0.09,1.38
1997,Disney Fairies: Tinker Bell and the Lost Treasure,DS,2009,0.57,0.35,0.02,0.1,1.04
2717,That's So Raven,GBA,2004,0.54,0.2,0,0.01,0.76
2926,Hannah Montana: The Movie,DS,2009,0.38,0.25,0,0.07,0.7
3016,Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010,0.4,0.22,0,0.06,0.67
3258,Bolt,DS,2008,0.35,0.21,0,0.06,0.62
3557,Bolt,Wii,2008,0.19,0.31,0,0.06,0.57
3800,Alice in Wonderland,Wii,2010,0.27,0.21,0,0.05,0.53
3862,That's So Raven 2: Supernatural Style,GBA,2005,0.37,0.14,0,0.01,0.52
3984,Alice in Wonderland,DS,2010,0.27,0.18,0,0.05,0.5
4213,Pirates of the Caribbean: Dead Man's Chest,GBA,2006,0.33,0.12,0,0.01,0.47
5302,Hannah Montana: The Movie,Wii,2009,0.13,0.18,0,0.04,0.35
5342,Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,2010,0.18,0.14,0,0.03,0.35
5373,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,0.17,0.13,0,0.04,0.34
5875,Jonas,DS,2009,0.28,0,0,0.02,0.3
6142,Pirates of the Caribbean: Dead Man's Chest,PSP,2006,0.25,0.01,0,0.02,0.28
6478,Bolt,PS2,2008,0.09,0.02,0,0.16,0.26
6581,Pirates of the Caribbean: Dead Man's Chest,DS,2006,0.23,0.01,0,0.02,0.26
6710,Bolt,X360,2008,0.18,0.05,0,0.02,0.25
6758,Disney's A Christmas Carol,DS,2009,0.22,0.01,0,0.02,0.25
6783,That's So Raven: Psychic on the Scene,DS,2006,0.23,0,0,0.02,0.24
7019,Hannah Montana: The Movie,PS3,2009,0.14,0.06,0,0.03,0.23
7091,Disney Princess: Enchanted Journey,PS2,2007,0.11,0.09,0,0.03,0.23
7361,Hannah Montana: The Movie,X360,2009,0.14,0.06,0,0.02,0.21
7939,Bolt,PS3,2008,0.12,0.05,0,0.02,0.19
11202,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,XB,2005,0.06,0.02,0,0,0.09
