Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1901,MySims Agents,DS,2009,0.55,0.43,0,0.11,1.08
1986,MySims Agents,Wii,2009,0.62,0.32,0,0.1,1.05
3352,Alice: Madness Returns,PS3,2011,0.22,0.25,0.04,0.09,0.6
3372,Xena: Warrior Princess,PS,1998,0.33,0.23,0,0.04,0.6
3956,Alice: Madness Returns,X360,2011,0.27,0.15,0.04,0.04,0.5
6565,Oddworld: Stranger's Wrath,XB,2005,0.19,0.06,0,0.01,0.26
8668,The Godfather: Blackhand Edition,Wii,2007,0.14,0,0,0.01,0.16
9106,Pirates: The Legend of Black Kat,PS2,2002,0.07,0.05,0,0.02,0.14
9789,Alice: Madness Returns,PC,2011,0,0.1,0,0.02,0.12
9796,Breakdown,XB,2004,0.09,0.03,0,0,0.12
12269,Pirates: The Legend of Black Kat,XB,2002,0.05,0.01,0,0,0.06
13352,Crusader: No Remorse,PS,1996,0.03,0.02,0,0,0.05
16557,Psychic Detective,PS,1995,0.01,0,0,0,0.01
