Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4836,Sherlock Holmes: The Mystery of the Mummy,DS,2009,0.06,0.3,0,0.04,0.4
6336,Sherlock Holmes: Crimes & Punishments,PS4,2014,0.08,0.14,0,0.05,0.27
6545,The Testament of Sherlock Holmes,PS3,2012,0.05,0.15,0,0.06,0.26
6906,Sherlock Holmes and the Mystery of Osborne House,DS,2010,0.07,0.14,0,0.03,0.24
8603,Sherlock Holmes vs. Jack the Ripper,X360,2009,0.11,0.04,0,0.01,0.16
11529,Sherlock Holmes: Crimes & Punishments,XOne,2014,0.03,0.04,0,0.01,0.08
11576,Sherlock Holmes: Crimes & Punishments,PS3,2014,0.03,0.04,0,0.01,0.08
11900,The Testament of Sherlock Holmes,PC,2012,0,0.06,0,0.01,0.07
12347,Sherlock Holmes: Crimes & Punishments,X360,2014,0.03,0.03,0,0.01,0.06
12401,The Next BIG Thing,PC,2011,0,0.05,0,0.01,0.06
12862,"Murder, She Wrote",PC,2009,0,0.04,0,0.01,0.05
13052,Sherlock Holmes: Crimes & Punishments,PC,2014,0,0.05,0,0,0.05
13467,Runaway: A Twist of Fate,PC,2009,0,0.04,0,0.01,0.04
13645,Sherlock Holmes: Secret of The Silver Earring,Wii,2010,0,0.04,0,0.01,0.04
14311,Hallowed Legends: Samhain,PC,2011,0,0.02,0,0.01,0.03
15319,Runaway: A Twist of Fate,DS,N/A,0,0.02,0,0,0.02
15323,The Testament of Sherlock Holmes,X360,2012,0,0.02,0,0,0.02
