Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8947,Code:Realize - Sousei no Himegimi,PSV,2014,0.09,0,0.03,0.03,0.15
10565,Hakuouki Portable,PSP,2009,0,0,0.1,0,0.1
10921,Hakuouki: Zuisouroku Portable,PSP,2010,0,0,0.09,0,0.09
10936,Hakuoki: Demon of the Fleeting Blossom,PSP,2009,0.08,0,0,0.01,0.09
11754,Hakuouki DS,DS,2010,0,0,0.07,0,0.07
11881,Hakuouki: Yuugi Roku,PSP,2010,0,0,0.07,0,0.07
12868,Hakuouki: Reimeiroku,PS2,2010,0,0,0.05,0,0.05
13038,Hakuoki: Stories of the Shinsengumi,PS3,2010,0.02,0,0.03,0,0.05
13284,Diabolik Lovers,PSP,2012,0,0,0.05,0,0.05
13400,Hiiro no Kakera DS,DS,2008,0,0,0.05,0,0.05
13447,Hakuouki SSL: Sweet School Life,PSV,2014,0,0,0.05,0,0.05
13540,B's-LOG Party♪,PSP,2010,0,0,0.04,0,0.04
13578,Kanuchi: Shiroki Tsubasa no Shou,PS2,2008,0,0,0.04,0,0.04
13641,Amnesia,PSP,2011,0,0,0.04,0,0.04
13700,Gakuen Hetalia Portable,PSP,2011,0,0,0.04,0,0.04
13723,S.Y.K Renshouden Portable,PSP,2011,0,0,0.04,0,0.04
13766,Hakuouki: Reimeiroku Portable,PSP,2011,0,0,0.04,0,0.04
13806,Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,PSP,2011,0,0,0.04,0,0.04
13978,Norn9: Norn + Nonette,PSP,2013,0,0,0.04,0,0.04
14015,Clock Zero: Shuuen no Ichibyou Portable,PSP,2011,0,0,0.04,0,0.04
14019,Hakuouki: Zuisouroku,PS2,2009,0,0,0.04,0,0.04
14096,Hakuouki: Zuisouroku DS,DS,2011,0,0,0.04,0,0.04
14205,Diabolik Lovers: More Blood,PSP,2013,0,0,0.03,0,0.03
14349,Hiiro no Kakera 2: Hisui no Shizuku,PS2,2007,0,0,0.03,0,0.03
14376,Brothers Conflict: Brilliant Blue,PSP,2013,0,0,0.03,0,0.03
14448,Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,0,0,0.03,0,0.03
14512,S.Y.K Renshouden,PS2,2010,0,0,0.03,0,0.03
14514,Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011,0,0,0.03,0,0.03
14534,Hakuouki,PS2,2008,0,0,0.03,0,0.03
14640,Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,2010,0,0,0.03,0,0.03
14654,Nisenochigiri: Omoide no Saki e,PSP,2011,0,0,0.03,0,0.03
14795,AMNESIA World,PSV,2014,0,0,0.03,0,0.03
14859,Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,PSP,2011,0,0,0.03,0,0.03
14870,Diabolik Lovers: Lunatic Parade,PSV,2016,0,0,0.03,0,0.03
14884,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,2012,0,0,0.03,0,0.03
14897,Angelique: Maren no Rokukishi,PSP,2011,0,0,0.03,0,0.03
14914,Senjou no Waltz,PSV,2014,0,0,0.02,0,0.02
14924,Otometeki Koi Kakumei * Love Revo! Portable,PSP,2010,0,0,0.02,0,0.02
14961,Kami Naru Kimi to,PSP,2011,0,0,0.02,0,0.02
15027,Are You Alice?,PSP,2011,0,0,0.02,0,0.02
15033,Urakata Hakuoki,PSP,2013,0,0,0.02,0,0.02
15132,Moujuutsukai to Oujisama: Snow Bride Portable,PSP,2012,0,0,0.02,0,0.02
15217,Moujuutsukai to Oujisama Portable,PSP,2011,0,0,0.02,0,0.02
15226,Kannou Mukashi Banashi Portable,PSP,2012,0,0,0.02,0,0.02
15228,Diabolik Lovers: More Blood,PSV,2015,0,0,0.02,0,0.02
15269,Shiratsuyu no Kai,PSP,2013,0,0,0.02,0,0.02
15280,"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",PSP,2010,0,0,0.02,0,0.02
15286,Gekka Ryouran Romance,PSP,2011,0,0,0.02,0,0.02
15289,Ore no Yome: Anata Dake no Hanayome,X360,2010,0,0,0.02,0,0.02
15296,Moujuutsukai to Oujisama: Snow Bride,PS2,2011,0,0,0.02,0,0.02
15321,Nisenochigiri,PSP,2010,0,0,0.02,0,0.02
15337,Hakuouki: Yuugi Roku DS,DS,2011,0,0,0.02,0,0.02
15343,Toki no Kizuna: Hanayui Tsuzuri,PSP,2013,0,0,0.02,0,0.02
15416,Gakuen K: Wonderful School Days,PSP,2014,0,0,0.02,0,0.02
15511,Hakuoki: Shinkai - Hana no Shou,PSV,2016,0,0,0.02,0,0.02
15552,Miyako,PSP,2010,0,0,0.02,0,0.02
15553,Motto NUGA-CEL!,PSP,2010,0,0,0.02,0,0.02
15719,Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,0,0,0.02,0,0.02
15724,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,2013,0,0,0.02,0,0.02
15773,Moujuutsukai to Oujisama,PS2,2010,0,0,0.02,0,0.02
15774,Root Infinity Rexx,PSV,2015,0,0,0.02,0,0.02
15896,Hiiro no Kakera Portable,PSP,2008,0,0,0.02,0,0.02
15913,Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable,PSP,2010,0,0,0.02,0,0.02
15935,I Doll U,PSV,2015,0,0,0.02,0,0.02
15979,Ouran Koukou Host Bu,PS2,2007,0,0,0.02,0,0.02
15997,S.Y.K: Shinsetsu Saiyuuki,PS2,2009,0,0,0.01,0,0.01
16007,Wand of Fortune: Mirai e no Prologue Portable,PSP,2010,0,0,0.01,0,0.01
16024,Wand of Fortune Portable,PSP,2010,0,0,0.01,0,0.01
16031,Wand of Fortune R,PSV,2016,0,0,0.01,0,0.01
16035,Shinobi Koutsutsu,PSP,2014,0,0,0.01,0,0.01
16091,Hiiro no Kakera: Shin Tamayori Hime Denshou,PS2,2009,0,0,0.01,0,0.01
16110,Marginal #4: Idol of Supernova,PSV,2014,0,0,0.01,0,0.01
16240,Hiiro no Kakera: Shin Tamayori Hime Denshou Portable,PSP,2010,0,0,0.01,0,0.01
16265,"Hanayaka Kana, Ware ga Ichizoku",PSP,2010,0,0,0.01,0,0.01
16297,Death Connection Portable,PSP,2011,0,0,0.01,0,0.01
16318,Gakuen Hetalia,DS,2012,0,0,0.01,0,0.01
16325,Binary Star,PSV,2014,0,0,0.01,0,0.01
16363,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,2013,0,0,0.01,0,0.01
16371,Wand of Fortune,PS2,2009,0,0,0.01,0,0.01
16374,S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,0,0,0.01,0,0.01
16395,Wand of Fortune: Mirai e no Prologue,PS2,2010,0,0,0.01,0,0.01
