Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7765,Steins;Gate,PSP,2011,0,0,0.19,0,0.19
8350,Fate/Stay Night [Réalta Nua],PS2,2007,0,0,0.17,0,0.17
8785,Amagami,PSP,2011,0,0,0.15,0,0.15
10517,Toaru Majutsu no Index,PSP,2011,0,0,0.1,0,0.1
10700,Lucky * Star: Ryouou Gakuen Outousai,PS2,2008,0,0,0.1,0,0.1
10857,PhotoKano,PSP,2012,0,0,0.09,0,0.09
11656,Ro-Kyu-Bu!,PSP,2011,0,0,0.08,0,0.08
11785,PhotoKano,PSV,2013,0,0,0.07,0,0.07
12074,Suzumiya Haruhi no Gekidou,Wii,2009,0,0,0.07,0,0.07
12505,D.C. II P.S.: Da Capo II Plus Situation,PS2,2008,0,0,0.06,0,0.06
12756,Fate/Stay Night [Réalta Nua],PSV,2012,0,0,0.06,0,0.06
12765,Toaru Kagaku no Chou Denjihou,PSP,2011,0,0,0.06,0,0.06
12824,Kyoukai Senjou no Horizon Portable,PSP,2013,0,0,0.05,0,0.05
12993,Koi to Senkyo to Chocolate Portable,PSP,2012,0,0,0.05,0,0.05
13521,D.C.F.S.: Da Capo Four Seasons,PS2,2005,0,0,0.04,0,0.04
13682,Shukufuku no Campanella Portable,PSP,2010,0,0,0.04,0,0.04
13794,Durarara!! 3way Standoff: Alley,PSP,2011,0,0,0.04,0,0.04
13963,Da Capo I & II Plus Situation Portable,PSP,2010,0,0,0.04,0,0.04
14327,Togainu no Chi: True Blood,PS2,2008,0,0,0.03,0,0.03
15005,Canvas 2,PS2,2006,0,0,0.02,0,0.02
15424,Ro-Kyu-Bu! Lost Secret,PSP,2013,0,0,0.02,0,0.02
15527,Seitokai no Ichizon: DS-suru Seitokai,DS,2010,0,0,0.02,0,0.02
15622,"Shounen Onmyouji: Tsubasa Yoima, Ten e Kaere",PS2,2007,0,0,0.02,0,0.02
15781,Yoake Yori Ruriiro na Portable,PSP,2010,0,0,0.02,0,0.02
15892,Sora no Otoshimono Forte: Dreamy Season,DS,2011,0,0,0.02,0,0.02
15955,Narcissus: Moshimo Ashita ga Runara,PSP,2010,0,0,0.02,0,0.02
15989,Sora no Otoshimono: DokiDoki Summer Vacation,PSP,2010,0,0,0.01,0,0.01
16030,Himawari: Pebble in the Sky Portable,PSP,2010,0,0,0.01,0,0.01
16317,Really? Really! DS,DS,2009,0,0,0.01,0,0.01
16344,H2O+: Footprints in the Sand,PS2,2008,0,0,0.01,0,0.01
16554,Sweet Honey Coming,PS2,2009,0,0,0.01,0,0.01
16575,Scarlett: Nichijou no Kyoukaisen,PS2,2008,0,0,0.01,0,0.01
16583,Real Rode,PS2,2008,0,0,0.01,0,0.01
