Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
650,Frogger's Adventures: Temple of the Frog,GBA,N/A,2.15,0.18,0,0.07,2.39
1706,Metal Gear Solid VR Missions,PS,1999,0.66,0.45,0,0.08,1.18
3827,The Grinch,PS,1999,0.29,0.2,0,0.03,0.52
4099,The Legend of the Mystical Ninja,SNES,1991,0,0,0.48,0,0.48
4227,Metal Gear Solid: The Essential Collection,PS2,2007,0.23,0.18,0,0.06,0.46
4917,Metal Gear Solid: The Legacy Collection,PS3,2013,0.31,0.01,0.03,0.05,0.39
6080,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008,0,0,0.29,0,0.29
7407,Shadow of Destiny,PS2,2001,0.09,0.07,0.03,0.02,0.21
7826,Tokimeki Memorial Girl's Side 3rd Story,DS,2010,0,0,0.19,0,0.19
7855,Frogger's Adventures 2: The Lost Wand,GBA,2002,0.14,0.05,0,0,0.19
8036,Jurassic Park III: Island Attack,GBA,2001,0.13,0.05,0,0,0.18
8238,Lost in Blue 3,DS,2007,0.09,0.02,0.06,0.01,0.17
8509,Doctor Lautrec and the Forgotten Knights,3DS,2011,0.07,0.05,0.03,0.01,0.16
8611,Time Hollow,DS,2008,0.03,0.01,0.11,0,0.16
9438,Shaman King: Power of Spirit,PS2,2004,0.06,0.05,0,0.02,0.13
9665,Calling,Wii,2009,0.07,0.04,0,0.01,0.12
9861,Wallace & Gromit: Curse of the Were-Rabbit,PS2,2005,0.06,0.05,0,0.02,0.12
9979,DEATH NOTE: Kira Game,DS,2007,0,0,0.12,0,0.12
10116,WireWay,DS,2009,0.1,0,0,0.01,0.11
10139,Lost in Blue,DS,2005,0.07,0.02,0.02,0.01,0.11
10148,Tokimeki Memorial: Girl's Side 2nd Season,DS,2008,0,0,0.11,0,0.11
10361,Metal Gear Solid Integral,PS,1999,0,0,0.1,0.01,0.11
10474,Miami Law,DS,2009,0.1,0,0,0.01,0.1
10560,Penguin no Mondai: The World,DS,2010,0,0,0.1,0,0.1
11212,L: the proLogue to DEATH NOTE - Rasen no Wana,DS,2008,0,0,0.09,0,0.09
11252,Shadow of Destiny,PSP,2009,0.07,0,0,0.01,0.09
11305,Elebits: The Adventures of Kai and Zero,DS,2008,0.07,0,0,0.01,0.08
11343,Tokimeki Memorial: Girl's Side,PS2,2002,0,0,0.08,0,0.08
11565,Lost in Blue: Shipwrecked,Wii,2008,0.07,0,0,0.01,0.08
11588,Tokimeki Memorial 4,PSP,2009,0,0,0.08,0,0.08
11799,Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,2012,0,0,0.07,0,0.07
12083,Hikaru no Go: Heian Gensou Ibunroku,PS,2002,0,0,0.06,0,0.07
12128,Lost in Blue 2,DS,2007,0.01,0.01,0.05,0,0.07
12622,Winx Club: Mission Enchantix,DS,2008,0.03,0.02,0,0,0.06
12637,Policenauts,3DO,1995,0,0,0.06,0,0.06
12673,Gormiti: The Lords of Nature!,DS,2010,0.05,0,0,0,0.06
13163,Tokimeki Memorial Girl's Side 2nd Kiss,PS2,2006,0,0,0.05,0,0.05
13216,D.Gray-man: Kami no Shitotachi,DS,2007,0,0,0.05,0,0.05
13247,Tokimeki Memorial: Girls Side 1st Love,DS,2007,0,0,0.05,0,0.05
13524,Hanayori Danshi: Koi Seyo Onago,DS,2008,0,0,0.04,0,0.04
13544,Gormiti: The Lords of Nature!,Wii,2010,0.04,0,0,0,0.04
13562,Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,PS2,2006,0,0,0.04,0,0.04
13807,Zac to Ombra: Maboroshi no Yuuenchi,DS,2010,0,0,0.04,0,0.04
14027,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006,0,0,0.04,0,0.04
14216,Metal Gear Solid: The Essential Collection (JP sales),PS2,2007,0,0,0.03,0,0.03
14446,Dancing Blade II: Tears of Eden,PS,1999,0,0,0.03,0,0.03
14498,Tokimeki Memorial Girl's Side 1st Love Plus,DS,2009,0,0,0.03,0,0.03
14575,Hayate no Gotoku! Nightmare Paradise,PSP,2009,0,0,0.03,0,0.03
14618,Nisekoi: Yomeiri!?,PSV,2014,0,0,0.03,0,0.03
14768,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,2006,0,0,0.03,0,0.03
14919,DEATH NOTE: L o Tsugu Mono,DS,2007,0,0,0.02,0,0.02
15109,D.Gray-man: Sousha no Shikaku,PS2,2008,0,0,0.02,0,0.02
16171,Wallace & Gromit: Curse of the Were-Rabbit,XB,2005,0.01,0,0,0,0.01
