Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6795,Corpse Party: Blood Drive,PSV,2014,0.11,0.03,0.06,0.05,0.24
12302,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,0,0,0.06,0,0.06
13599,"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006,0,0,0.04,0,0.04
14129,Tokyo Majin Gakuen: Kenfuuchou,DS,2008,0,0,0.03,0,0.03
14381,To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,DS,2008,0,0,0.03,0,0.03
14477,To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,PSP,2008,0,0,0.03,0,0.03
15061,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,PS2,2007,0,0,0.02,0,0.02
15176,Happiness! De-Lucks,PS2,2007,0,0,0.02,0,0.02
15318,Negima!? Chou Mahora Taisen Chuu: Checkiin Zenin Shuugou! Yappari Onsen Kichaimashitaa,DS,2007,0,0,0.02,0,0.02
15755,Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,PS2,2007,0,0,0.02,0,0.02
16032,Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,PS2,2008,0,0,0.01,0,0.01
16216,Aa Megami-samaa,PS2,2007,0,0,0.01,0,0.01
16235,Zero no Tsukaima: Maigo no Period to Ikusen no Symphony,PS2,2008,0,0,0.01,0,0.01
16449,Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008,0,0,0.01,0,0.01
