Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3280,Toshochu: Run for Money,3DS,2012,0,0,0.62,0,0.62
5987,Majin and the Forsaken Kingdom,PS3,2010,0.09,0.14,0.01,0.05,0.29
6247,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,2008,0,0.07,0.19,0.01,0.28
6901,Hello Kitty Seasons,Wii,2010,0.16,0.06,0,0.02,0.24
7065,AKB1/149: Love Election,PSP,2012,0,0,0.23,0,0.23
7076,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,0,0,0.23,0,0.23
7816,Majin and the Forsaken Kingdom,X360,2010,0.14,0.03,0,0.01,0.19
7870,Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008,0,0,0.19,0,0.19
7943,One Piece: Unlimited Adventure,Wii,2007,0.07,0,0.11,0.01,0.19
8001,Hello Kitty: Birthday Adventures,DS,2010,0.06,0.11,0,0.02,0.18
8616,Ghost in the Shell: Stand Alone Complex,PS2,2004,0.08,0.06,0,0.02,0.16
8832,Suzumiya Haruhi no Yakusoku,PSP,2007,0,0,0.15,0,0.15
9634,Aikatsu! 365 Idol Days,3DS,2014,0,0,0.13,0,0.13
10125,Pac-Man and the Ghostly Adventures 2,X360,2014,0.05,0.05,0,0.01,0.11
10228,Pac-Man and the Ghostly Adventures 2,PS3,2014,0.05,0.04,0,0.02,0.11
11329,The Seven Deadly Sins: Unjust Sin,3DS,2015,0,0,0.08,0,0.08
11393,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,DS,2009,0,0,0.08,0,0.08
11448,ToraDora Portable!,PSP,2009,0,0,0.08,0,0.08
11454,Pac-Man and the Ghostly Adventures 2,3DS,2014,0.03,0.05,0,0.01,0.08
11500,AKB1/149: Love Election,PS3,2013,0,0,0.08,0,0.08
11745,AKB1/149: Love Election,PSV,2012,0,0,0.07,0,0.07
11858,Lupin Sansei: Shijou Saidai no Zunousen,DS,2010,0,0,0.07,0,0.07
11877,Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,2008,0,0,0.07,0,0.07
11907,Pac-Man and the Ghostly Adventures 2,WiiU,2014,0.05,0.02,0,0.01,0.07
11944,I Don't Have Many Friends Portable,PSP,2012,0,0,0.07,0,0.07
11980,Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,2014,0,0,0.07,0,0.07
12364,Meitantei Conan: Aoki Houseki no Rinbukyoku,DS,2011,0,0,0.06,0,0.06
12380,Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,2008,0,0,0.06,0,0.06
12423,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,3DS,2014,0,0,0.06,0,0.06
12496,Neon Genesis Evangelion,N64,1999,0,0,0.06,0,0.06
12612,Mahouka Koukou no Rettousei: Out of Order,PSV,2014,0,0,0.06,0,0.06
13070,The Idolm@ster: Dearly Stars,DS,2009,0,0,0.05,0,0.05
13137,Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,DS,2010,0,0,0.05,0,0.05
13142,Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,2006,0,0,0.05,0,0.05
13255,Treasure Report: Kikai Jikake no Isan,DS,2011,0,0,0.05,0,0.05
13275,Detective Conan: Marionette Symphony,3DS,2013,0,0,0.05,0,0.05
13319,Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,PSP,2011,0,0,0.05,0,0.05
13322,Snoopy vs the Red Baron,PSP,2006,0.04,0,0,0,0.05
13770,Super Robot Gakuen,DS,2009,0,0,0.04,0,0.04
13815,99 no Namida,DS,2008,0,0,0.04,0,0.04
13847,Haikyu!! Cross Team Match!,3DS,2016,0,0,0.04,0,0.04
13901,Countdown Vampires,PS,1999,0.02,0.01,0,0,0.04
13934,Suzumiya Haruhi no Tsuisou,PSP,2011,0,0,0.04,0,0.04
14155,Suzumiya Haruhi no Tsuisou,PS3,2011,0,0,0.03,0,0.03
14225,Tail Concerto,PS,1998,0.02,0.01,0,0,0.03
14300,Accel World: Ginyoku no Kakusei,PS3,2012,0,0,0.03,0,0.03
14336,Accel World: Ginyoku no Kakusei,PSP,2012,0,0,0.03,0,0.03
14370,Toaru Majutsu no Kagaku no Ensemble,PSP,2013,0,0,0.03,0,0.03
14568,Winx Club: Rockstars,DS,2010,0,0.03,0,0,0.03
14980,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,PS3,2015,0,0,0.02,0,0.02
15345,Rinne no Lagrange: Kamogawa Days,PS3,2012,0,0,0.02,0,0.02
15371,Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,DS,2008,0,0,0.02,0,0.02
15425,CV Casting Voice,PS3,2014,0,0,0.02,0,0.02
15950,Accel World: Kasoku no Chouten,PS3,2013,0,0,0.02,0,0.02
16133,Dr. Slump & Arale-Chan,DS,2008,0,0,0.01,0,0.01
16153,Accel World: Kasoku no Chouten,PSP,2013,0,0,0.01,0,0.01
16172,Hanayamata: Yosakoi Live,PSV,2014,0,0,0.01,0,0.01
16210,Duel Love: Koisuru Otome wa Shouri no Megami,DS,2008,0,0,0.01,0,0.01
