Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
51,Super Mario Land 2: 6 Golden Coins,GB,1992,6.16,2.04,2.69,0.29,11.18
252,Zelda II: The Adventure of Link,NES,1987,2.19,0.5,1.61,0.08,4.38
730,The Legend of Zelda: Link's Awakening DX,GB,1998,1,0.63,0.45,0.13,2.22
921,Star Fox Adventures,GC,2002,0.96,0.53,0.3,0.09,1.87
925,The Legend of Zelda: Oracle of Seasons,GB,2001,0.87,0.52,0.41,0.06,1.86
989,Metroid II: Return of Samus,GB,1991,0.85,0.31,0.56,0.04,1.76
1537,Mystery Case Files: MillionHeir,DS,2008,0.76,0.4,0,0.12,1.29
1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,0.55,0.17,0.42,0.06,1.2
1892,Endless Ocean,Wii,2007,0.44,0.47,0.09,0.09,1.09
2263,Disney Magical World,3DS,2013,0.16,0.2,0.53,0.03,0.92
2335,Classic NES Series: The Legend of Zelda,GBA,2004,0.46,0.17,0.24,0.02,0.89
2476,Metroid: Zero Mission,GBA,2004,0.6,0.22,0,0.01,0.84
2939,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,0.37,0.14,0.17,0.01,0.7
3497,Rooms: The Main Building,DS,2010,0.1,0.41,0.01,0.06,0.58
3578,Hotel Dusk: Room 215,DS,2007,0.27,0.05,0.22,0.03,0.56
4479,Eternal Darkness: Sanity's Requiem,GC,2002,0.34,0.09,0,0.01,0.44
4494,Classic NES Series: Metroid,GBA,2004,0.26,0.1,0.07,0.01,0.43
4655,Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,0.18,0.17,0.03,0.04,0.42
4923,Mystery Case Files: The Malgrave Incident,Wii,2011,0.19,0.17,0,0.03,0.39
4937,Chibi-Robo! Plug into Adventure!,GC,2005,0.23,0.06,0.09,0.01,0.39
5052,Pokemon Channel,GC,2003,0.24,0.06,0.07,0.01,0.38
5949,Trace Memory,DS,2005,0.15,0.01,0.12,0.01,0.3
7039,Last Window: The Secret of Cape West,DS,2010,0,0.12,0.09,0.02,0.23
7273,Spirit Camera: The Cursed Memoir,3DS,2012,0.12,0.02,0.06,0.01,0.22
7803,Disney's Magical Mirror Starring Mickey Mouse,GC,2002,0.15,0.04,0,0.01,0.19
8452,Cubivore: Survival of the Fittest,GC,2002,0.01,0,0.15,0,0.17
8900,Geist,GC,2005,0.11,0.03,0,0,0.15
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,0,0,0.14,0,0.14
10250,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,GBA,2004,0,0,0.11,0,0.11
10305,Irozuki Tingle no Koi no Balloon Trip,DS,2009,0,0,0.11,0,0.11
10722,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,0,0,0.1,0,0.1
11273,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,GBA,2004,0,0,0.08,0,0.08
12314,Another Code R: A Journey into Lost Memories,Wii,2009,0,0.03,0.03,0,0.06
13316,Wii de Asobu Chibi-Robo!,Wii,2009,0,0,0.05,0,0.05
16476,Captain Rainbow,Wii,2008,0,0,0.01,0,0.01
