Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11270,Disgaea Infinite,PSP,2010,0.07,0,0.01,0.01,0.08
12681,Yomawari,PSV,2015,0,0,0.06,0,0.06
13363,Shin Hayarigami,PSV,2014,0,0,0.05,0,0.05
13843,Blue Roses: Yousei to Aoi Hitomi no Senshitachi,PSP,2010,0,0,0.04,0,0.04
13930,Shin Hayarigami,PS3,2014,0,0,0.04,0,0.04
14473,Great Edo Blacksmith,PSV,2014,0,0,0.03,0,0.03
14849,Tokushu Houdoubu,PSV,2012,0,0,0.03,0,0.03
14899,Psycho-Pass: Mandatory Happiness,PS4,2016,0.02,0,0,0,0.03
15403,Psycho-Pass: Mandatory Happiness,PSV,2016,0,0.01,0.01,0,0.02
15715,Amagoushi no Yakata,PS2,2007,0,0,0.02,0,0.02
16206,Shin Hayarigami 2,PSV,2016,0,0,0.01,0,0.01
16505,Naraku no Shiro,PS2,2008,0,0,0.01,0,0.01
