Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13047,Little Busters! Converted Edition,PS2,2009,0,0,0.05,0,0.05
13472,Tomoyo After: It's a Wonderful Life CS Edition,PSP,2009,0,0,0.04,0,0.04
13668,Little Busters! Converted Edition,PSP,2010,0,0,0.04,0,0.04
13816,Clannad,PSP,2008,0,0,0.04,0,0.04
14093,Sangoku Koi Senki: Otome no Heihou!,PSP,2012,0,0,0.04,0,0.04
14244,Clannad,PS3,2011,0,0,0.03,0,0.03
14772,Clannad,X360,2008,0,0,0.03,0,0.03
14800,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010,0,0,0.03,0,0.03
14925,Clover no Kuni no Alice: Wonderful Wonder World,PS2,2010,0,0,0.02,0,0.02
15025,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,PSP,2010,0,0,0.02,0,0.02
15464,AIR,PSP,2007,0,0,0.02,0,0.02
15545,Snow Portable,PSP,2007,0,0,0.02,0,0.02
15560,Amatsumi Sora ni! Kumo no Hatate ni,PSV,2015,0,0,0.02,0,0.02
15587,Arabians Lost: The Engagement on Desert,PS2,2007,0,0,0.02,0,0.02
15644,Grisaia no Rakuen: Le Eden de la Grisaia,PSV,2014,0,0,0.02,0,0.02
15705,Planetarian: Chiisana Hoshi no Yume,PSP,2009,0,0,0.02,0,0.02
15867,Shinkyoku Soukai Polyphonica,PS2,2007,0,0,0.02,0,0.02
15948,Grisaia no Meikyuu: Le Labyrinthe de la Grisaia,PSV,2014,0,0,0.02,0,0.02
16059,Sangoku Koi Senki: Otome no Heihou!,PS2,2011,0,0,0.01,0,0.01
16102,Rewrite,PSV,2014,0,0,0.01,0,0.01
16214,Tomoyo After: It's a Wonderful Life CS Edition,PS2,2007,0,0,0.01,0,0.01
16293,Sangoku Koi Senki: Omoide Gaeshi - CS Edition,PSV,2016,0,0,0.01,0,0.01
16400,Heart no Kuni no Alice,PSP,2009,0,0,0.01,0,0.01
16415,Time Leap,X360,2009,0,0,0.01,0,0.01
16457,Heart no Kuni no Alice,PS2,2008,0,0,0.01,0,0.01
16574,Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013,0,0,0.01,0,0.01
