Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14415,Mother Goose no Himitsu no Yakata,PSP,2011,0,0,0.03,0,0.03
15032,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,0,0,0.02,0,0.02
15192,Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,PSP,2011,0,0,0.02,0,0.02
15382,Joker no Kuni no Alice: Wonderful Wonder World,PSP,2011,0,0,0.02,0,0.02
15699,Clover no Kuni no Alice: Wonderful Wonder World,PSP,2011,0,0,0.02,0,0.02
16089,"Iza, Shutsujin! Koisen",PSP,2011,0,0,0.01,0,0.01
16319,Daiya no Kuni no Alice: Wonderful Mirror World,PSP,2013,0,0,0.01,0,0.01
16372,Arabians Lost: The Engagement on Desert,PSP,2012,0,0,0.01,0,0.01
16446,Heart no Kuni no Alice: Wonderful Twin World,PSP,2014,0,0,0.01,0,0.01
16503,Satomi Hakkenden: Hachi Tamanoki,PSP,2014,0,0,0.01,0,0.01
16510,Romeo Vs. Juliet,PSP,2013,0,0,0.01,0,0.01
