Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1526,Rise of the Tomb Raider,XOne,2015,0.53,0.64,0.02,0.1,1.3
4874,Rise of the Tomb Raider,X360,2015,0.17,0.19,0,0.03,0.4
5098,Life is Strange,PS4,2016,0.14,0.15,0.03,0.06,0.37
5140,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,0,0,0.36,0.01,0.37
8019,The Walking Dead: Season One,PSV,2013,0.14,0,0.01,0.03,0.18
10049,Life is Strange,XOne,2016,0.08,0.02,0,0.01,0.11
10733,Rise of the Tomb Raider,PC,2016,0,0.09,0,0.01,0.1
11614,Nanashi no Game,DS,2008,0,0,0.08,0,0.08
13564,Life is Strange,PC,2016,0.01,0.03,0,0,0.04
16341,Fullmetal Alchemist: Prince of the Dawn,Wii,2009,0,0,0.01,0,0.01
