Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
401,Rugrats: Search For Reptar,PS,1998,1.63,1.53,0,0.18,3.34
881,Scooby Doo and the Cyber Chase,PS,2001,0.59,1.23,0,0.13,1.94
1093,"Monsters, Inc.",GBA,2001,0.59,0.95,0.03,0.1,1.67
1272,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,1,0.36,0,0.13,1.49
1278,Bratz: Forever Diamondz,DS,2006,0.43,0.88,0,0.18,1.48
1508,Rugrats Studio Tour,PS,1999,0.57,0.67,0,0.07,1.31
2639,My Little Pony: Pinkie Pie's Party,DS,2008,0.72,0,0,0.06,0.78
3550,Bratz 4 Real,DS,2007,0.29,0.22,0,0.06,0.57
3963,Avatar: The Last Airbender,GC,2006,0.39,0.1,0,0.01,0.5
4262,American Girl: Kit Mystery Challenge!,DS,2008,0.42,0,0,0.03,0.46
4705,James Patterson Women's Murder Club: Games of Passion,DS,2009,0.15,0.22,0,0.05,0.41
4714,Nicktoons: Unite!,PS2,2005,0.34,0.01,0,0.06,0.41
4949,SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,0.24,0.11,0,0.04,0.39
5272,Nicktoons: Unite!,GC,2005,0.27,0.07,0,0.01,0.35
5436,Avatar: The Last Airbender,DS,2006,0.3,0.01,0,0.03,0.34
6145,Avatar: The Last Airbender,Wii,2006,0.24,0.02,0,0.02,0.28
6289,Evil Dead: Hail to the King,PS,2000,0.15,0.1,0,0.02,0.27
6410,Megamind: The Blue Defender,DS,2010,0.19,0.05,0,0.02,0.27
6770,Avatar: The Last Airbender - Into the Inferno,PS2,2008,0.12,0.09,0,0.03,0.25
6846,Megamind: Mega Team Unite,Wii,2010,0.16,0.06,0,0.02,0.24
7116,The Polar Express,PS2,2004,0.11,0.09,0,0.03,0.23
7343,Bratz: Forever Diamondz,GC,2006,0.17,0.04,0,0.01,0.21
7810,Avatar: The Last Airbender - Into the Inferno,Wii,2008,0.17,0.01,0,0.01,0.19
7848,The Polar Express,GBA,2004,0.14,0.05,0,0,0.19
8186,Nancy Drew: The Hidden Staircase,DS,2008,0.16,0,0,0.01,0.18
8193,Fancy Nancy: Tea Party Time!,DS,2010,0.17,0,0,0.01,0.18
8672,Monster House,DS,2006,0.14,0.01,0,0.01,0.16
8800,The Fairly Odd Parents: Clash with the Anti-World,GBA,2005,0.11,0.04,0,0,0.15
9045,Monster House,PS2,2006,0.07,0.05,0,0.02,0.14
9165,Monster House,GC,2006,0.11,0.03,0,0,0.14
9443,Megamind: The Blue Defender,PSP,2010,0.08,0.03,0,0.02,0.13
9599,Avatar: The Last Airbender - Into the Inferno,DS,2008,0.11,0.01,0,0.01,0.13
9939,Rugrats: Totally Angelica,PS,2001,0.06,0.04,0,0.01,0.12
10156,American Girl: Julie Finds a Way,DS,2007,0.1,0,0,0.01,0.11
10170,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PS3,2011,0,0,0.11,0,0.11
10197,Avatar: The Last Airbender,PSP,2006,0.1,0,0,0.01,0.11
10263,Nicktoons: Unite!,DS,2006,0.1,0,0,0.01,0.11
10289,The Polar Express,GC,2004,0.08,0.02,0,0,0.11
10879,Scooby-Doo! Who's Watching Who?,DS,2006,0.08,0.01,0,0.01,0.09
11249,Monster House,GBA,2006,0.06,0.02,0,0,0.09
11584,Scooby-Doo! Who's Watching Who?,PSP,2006,0.07,0.01,0,0.01,0.08
11864,Let's Ride! Friends Forever,DS,2008,0.07,0,0,0,0.07
11927,Vampire Legends: Power of Three,DS,2010,0.07,0,0,0,0.07
12159,everGirl,GBA,2005,0.05,0.02,0,0,0.07
14566,Drake & Josh: Talent Showdown,DS,2007,0.03,0,0,0,0.03
15549,Broken Sword: The Sleeping Dragon,XB,2003,0.01,0,0,0,0.02
16157,Bratz: Forever Diamondz,PS2,2006,0.01,0.01,0,0,0.01
