Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
418,L.A. Noire,PS3,2011,1.27,1.33,0.12,0.51,3.23
550,L.A. Noire,X360,2011,1.52,0.94,0.02,0.24,2.72
5262,Wonder Pets! Save the Animals!,DS,2008,0.33,0,0,0.02,0.36
6591,The Backyardigans,DS,2009,0.24,0,0,0.02,0.26
6707,L.A. Noire: The Complete Edition,PC,2011,0.08,0.13,0,0.04,0.25
8425,"Go, Diego, Go! Safari Rescue",DS,2007,0.15,0.01,0,0.01,0.17
8865,Space Station Silicon Valley,N64,1997,0.12,0.03,0,0,0.15
9774,Zathura,PS2,2005,0.06,0.05,0,0.02,0.12
10375,Martian Gothic: Unification,PS,2001,0.06,0.04,0,0.01,0.11
10381,"Grand Theft Auto: Mission Pack #1, London 1969",PS,1998,0.06,0.04,0,0.01,0.11
12460,Call of Cthulhu: Dark Corners of the Earth,XB,2005,0.05,0.01,0,0,0.06
15165,Zathura,XB,2005,0.02,0,0,0,0.02
