Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7277,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007,0,0,0.22,0,0.22
9720,DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,DS,2008,0,0,0.12,0,0.12
10827,Kiniro no Corda 3,PSP,2010,0,0,0.09,0,0.09
11261,Aibou DS,DS,2009,0,0,0.08,0,0.08
11838,Harukanaru Toki no Naka de 4,PS2,2008,0,0,0.07,0,0.07
12098,DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008,0,0,0.07,0,0.07
12769,Angelique Trois,PS2,2000,0,0,0.06,0,0.06
13151,Harukanaru Toki no Naka de 3,PS2,2004,0,0,0.05,0,0.05
13205,Harukanaru Toki no Naka de: Yumenoukihashi,DS,2008,0,0,0.05,0,0.05
13993,Harukanaru Toki no Naka de 3: Unmei no Meikyuu Aizouban,PSP,2009,0,0,0.04,0,0.04
14087,Harukanaru Toki no Naka de: Maihitoyo,PS2,2006,0,0,0.04,0,0.04
14160,Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009,0,0,0.03,0,0.03
14404,Kiniro no Corda 3,PS2,2010,0,0,0.03,0,0.03
15105,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,PSP,2009,0,0,0.02,0,0.02
15114,Neo Angelique,PS2,2006,0,0,0.02,0,0.02
16531,Kiniro no Corda 3,3DS,2015,0,0,0.01,0,0.01
16578,Neo Angelique Special,PSP,2008,0,0,0.01,0,0.01
