Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4319,The Walking Dead: Season One,PS4,2014,0.12,0.25,0.01,0.08,0.45
6950,The Walking Dead: Season Two,PS4,2014,0.1,0.09,0.01,0.04,0.24
7218,The Walking Dead: Season Two,PS3,2014,0.09,0.09,0,0.04,0.22
7496,The Wolf Among Us,PS4,2014,0.1,0.07,0,0.03,0.21
8234,Back to the Future: The Game,PS4,2015,0.1,0.04,0,0.03,0.17
8694,The Walking Dead: Season One,XOne,2014,0.08,0.06,0,0.01,0.16
8927,The Walking Dead: Season Two,PSV,2014,0.1,0,0.01,0.03,0.15
9199,The Walking Dead: Season Two,XOne,2014,0.08,0.05,0,0.01,0.14
9892,The Walking Dead: Season Two,X360,2014,0.04,0.07,0,0.01,0.12
10470,The Wolf Among Us,PS3,2014,0.05,0.03,0,0.02,0.1
11134,Back to the Future: The Game,PS3,2011,0.07,0.01,0,0.01,0.09
11846,The Wolf Among Us,XOne,2014,0.05,0.02,0,0.01,0.07
11939,The Wolf Among Us,PSV,2014,0.05,0,0,0.02,0.07
12592,Back to the Future: The Game,Wii,2011,0.05,0,0,0,0.06
12640,Game of Thrones (Telltale),PS3,2015,0.02,0.03,0,0.01,0.06
13348,Game of Thrones (Telltale),PS4,2015,0.04,0,0,0.01,0.05
13683,The Wolf Among Us,X360,2011,0.01,0.03,0,0,0.04
14094,Batman: A Telltale Game Series,PS4,2016,0.01,0.02,0,0.01,0.04
14198,Game of Thrones (Telltale),X360,2015,0.02,0.01,0,0,0.03
14592,Game of Thrones (Telltale),XOne,2015,0.03,0,0,0,0.03
14876,Back to the Future: The Game,X360,2015,0.02,0.01,0,0,0.03
15710,Back to the Future: The Game,XOne,2015,0,0.02,0,0,0.02
16239,Batman: A Telltale Game Series,PS3,2016,0,0.01,0,0,0.01
