Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
159,Assassin's Creed,X360,2007,3.28,1.65,0.07,0.55,5.55
219,Assassin's Creed,PS3,2007,1.91,2,0.09,0.83,4.83
2262,Assassin's Creed,PC,2008,0.01,0.83,0,0.08,0.92
2340,CSI: Hard Evidence,Wii,2008,0.36,0.43,0,0.1,0.89
2691,Raving Rabbids: Travel in Time,Wii,2010,0.22,0.47,0,0.08,0.76
3652,Batman: Vengeance,PS2,2001,0.27,0.21,0,0.07,0.55
4071,Jake Power: Fireman,DS,2008,0.08,0.35,0,0.06,0.49
4683,Scooby-Doo and the Cyber Chase,GBA,2001,0.3,0.11,0,0.01,0.41
4957,The Dog Island,Wii,2007,0.35,0.01,0,0.03,0.39
5083,Petz Rescue: Ocean Patrol,DS,2008,0.35,0,0,0.03,0.37
5265,CSI: Deadly Intent - The Hidden Cases,DS,2009,0.16,0.16,0,0.04,0.35
5451,Beyond Good & Evil,PS2,2003,0.16,0.13,0,0.04,0.33
6019,CSI: Deadly Intent,Wii,2009,0.13,0.13,0,0.03,0.29
6251,Myst III: Exile,PS2,2002,0.14,0.11,0,0.04,0.28
6422,The Dog Island,PS2,2007,0.13,0.1,0,0.03,0.27
6537,Batman: Vengeance,GC,2001,0.2,0.05,0,0.01,0.26
6738,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,0.12,0.09,0,0.03,0.25
6787,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,0.12,0.1,0,0.02,0.24
6811,Imagine: Teacher Class Trip,DS,2009,0.1,0.12,0,0.02,0.24
6813,Final Fantasy Fables: Chocobo Tales,DS,2006,0.11,0.01,0.12,0.01,0.24
7178,Petz Rescue: Endangered Paradise,DS,2008,0.21,0,0,0.02,0.22
7209,CSI: Fatal Conspiracy,Wii,2010,0.12,0.08,0,0.02,0.22
7233,Where's Waldo? The Fantastic Journey,DS,2009,0.2,0,0,0.02,0.22
7397,Prince of Persia: Revelations,PSP,2005,0.18,0.01,0,0.02,0.21
7485,CSI: Deadly Intent,X360,2009,0.1,0.08,0,0.02,0.21
7612,CSI: Unsolved!,DS,2010,0.13,0.06,0,0.02,0.2
7871,Where's Waldo? The Fantastic Journey,Wii,2009,0.18,0,0,0.01,0.19
7921,CSI: Fatal Conspiracy,PS3,2010,0.11,0.05,0,0.02,0.19
8111,Batman: Vengeance,GBA,2001,0.13,0.05,0,0,0.18
8213,Petz: Horseshoe Ranch,DS,2009,0.16,0,0,0.01,0.17
8220,Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,0.07,0.09,0,0.02,0.17
8357,CSI: Fatal Conspiracy,X360,2010,0.11,0.04,0,0.01,0.17
8731,James Noir's Hollywood Crimes,3DS,2011,0.07,0.07,0,0.02,0.15
9000,CSI: 3 Dimensions of Murder,PS2,2007,0.07,0.06,0,0.02,0.14
9210,NCIS,X360,2011,0.1,0.03,0,0.01,0.14
9323,NCIS,Wii,2011,0.08,0.04,0,0.01,0.14
9616,NCIS,PS3,2011,0.07,0.04,0,0.02,0.13
9943,CSI: Crime Scene Investigation,XB,2004,0.09,0.03,0,0,0.12
10179,NCIS 3D,3DS,2011,0.06,0.04,0,0.01,0.11
10510,Beyond Good & Evil,XB,2003,0.08,0.02,0,0,0.1
10696,CSI: Hard Evidence,X360,2007,0.07,0.02,0,0.01,0.1
11807,CSI: Dark Motives,DS,2007,0.05,0.01,0,0.01,0.07
11831,Beyond Good & Evil,GC,2003,0.06,0.01,0,0,0.07
12033,Jake Power: Handyman,DS,2008,0.06,0,0,0,0.07
12305,Sprung - A Game Where Everyone Scores,DS,2004,0.06,0,0,0,0.06
12470,Grey's Anatomy: The Video Game,Wii,2009,0.05,0.01,0,0,0.06
12659,Myst III: Exile,XB,2002,0.04,0.01,0,0,0.06
12779,Gold and Glory: The Road to El Dorado,PS,2000,0.03,0.02,0,0,0.06
12892,Jake Power: Policeman,DS,2008,0.05,0,0,0,0.05
12955,Myst IV: Revelation,XB,2005,0.04,0.01,0,0,0.05
13429,Grey's Anatomy: The Video Game,DS,2009,0.03,0.01,0,0,0.05
13633,NCIS,PC,2011,0.01,0.02,0,0.01,0.04
13793,CSI: Fatal Conspiracy,PC,2010,0,0.03,0,0.01,0.04
14641,Syberia II,XB,2004,0.02,0.01,0,0,0.03
15112,Grey's Anatomy: The Video Game,PC,2009,0,0.02,0,0,0.02
15373,Pippa Funnell: Ranch Rescue,Wii,2007,0,0.02,0,0,0.02
15381,Largo Winch .// Commando Sar,PS,2002,0.01,0.01,0,0,0.02
15513,Uru: Ages Beyond Myst,PC,2003,0,0.02,0,0,0.02
16594,Myst IV: Revelation,PC,2004,0.01,0,0,0,0.01
