Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7316,Afrika,PS3,2008,0.12,0,0.08,0.01,0.21
7938,Chibi-Robo! Park Patrol,DS,2007,0,0,0.19,0,0.19
9823,The Daring Game for Girls,DS,N/A,0.11,0,0,0.01,0.12
9999,Mystery P.I. - Portrait of a Thief,DS,2008,0.11,0,0,0.01,0.11
10794,The Daring Game for Girls,Wii,N/A,0.09,0,0,0.01,0.1
11277,Martian Panic,Wii,2010,0.08,0,0,0,0.08
11457,The Hidden,3DS,N/A,0.08,0,0,0,0.08
12900,Samantha Swift and the Hidden Roses of Athena,DS,2010,0.04,0.01,0,0,0.05
13822,Time Travelers,3DS,2012,0,0,0.04,0,0.04
14355,LEGO Legends of Chima: Laval's Journey,DS,2013,0,0.03,0,0,0.03
14643,Ao no Kanata no Four Rhythm,PSV,2016,0,0,0.03,0,0.03
14847,Magicka Collection,PC,2011,0,0.02,0,0,0.03
14937,Vampire Mansion: Linda Hyde,DS,2011,0,0.02,0,0,0.02
15180,Love Once: Mermaid's Tears,PS3,2011,0,0,0.02,0,0.02
15567,Tantei Opera: Milky Holmes,PSP,2010,0,0,0.02,0,0.02
16238,Shitsuji ga Aruji o Erabu Toki,PSV,2016,0,0,0.01,0,0.01
16369,Hakuouki: Shinsengumi Kitan,PS3,N/A,0.01,0,0,0,0.01
