Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9370,Hulk Hogan's Main Event,X360,2011,0.1,0.02,0,0.01,0.13
9655,Supremacy MMA,PS3,2011,0.06,0.04,0,0.02,0.13
10503,Bujingai: The Forsaken City,PS2,2003,0.05,0.04,0,0.01,0.1
10552,Draglade,DS,2007,0.09,0,0,0.01,0.1
10768,Guilty Gear Isuka,PS2,2004,0.05,0.04,0,0.01,0.1
11008,Supremacy MMA,PSV,2012,0.02,0.05,0,0.02,0.09
11168,Battle Fantasia,X360,2008,0.07,0,0.01,0.01,0.09
11370,Supremacy MMA,X360,2011,0.05,0.03,0,0.01,0.08
13648,Guilty Gear XX Accent Core,Wii,2007,0.03,0,0,0,0.04
13828,Draglade (JP sales),DS,2007,0,0,0.04,0,0.04
16544,Battle Fantasia,PS3,2008,0,0,0.01,0,0.01
