Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
398,WWF War Zone,PS,1998,2.47,0.76,0,0.13,3.36
889,Mortal Kombat II,SNES,1993,1.48,0.39,0,0.06,1.93
990,WWF Attitude,PS,1998,1.27,0.42,0,0.07,1.76
1223,Mortal Kombat 3,SNES,1994,1.19,0.29,0,0.05,1.53
1460,Mortal Kombat 3,GEN,1994,1.03,0.27,0,0.04,1.34
1474,WWF War Zone,N64,1998,1.08,0.24,0,0.02,1.33
2724,Legends of Wrestling,PS2,2001,0.37,0.29,0,0.1,0.76
2886,WWF Attitude,N64,1999,0.57,0.13,0,0.01,0.71
3242,WWF in Your House,PS,1996,0.35,0.24,0,0.04,0.62
4105,ECW Hardcore Revolution,PS,1999,0.27,0.18,0,0.03,0.48
5491,Legends of Wrestling II,PS2,2002,0.16,0.13,0,0.04,0.33
5917,Showdown: Legends of Wrestling,PS2,2004,0.15,0.11,0,0.04,0.3
7225,ECW Hardcore Revolution,N64,2000,0.18,0.04,0,0,0.22
7393,HBO Boxing,PS,2000,0.12,0.08,0,0.01,0.21
7466,X-Men: Children of the Atom,SAT,1995,0,0,0.21,0,0.21
8237,Street Fighter: The Movie,PS,1995,0.1,0.07,0,0.01,0.17
8664,Psychic Force,PS,1996,0.01,0.01,0.13,0.01,0.16
9040,Iron & Blood,PS,1996,0.08,0.05,0,0.01,0.14
9166,Dead or Alive 2,DC,2000,0,0,0.14,0,0.14
9326,Legends of Wrestling,XB,2002,0.1,0.03,0,0,0.14
9560,Legends of Wrestling,GC,2002,0.1,0.03,0,0,0.13
9649,Legends of Wrestling II,XB,2002,0.09,0.03,0,0,0.13
9809,Showdown: Legends of Wrestling,XB,2004,0.09,0.03,0,0,0.12
9903,Legends of Wrestling II,GC,2002,0.09,0.02,0,0,0.12
10126,ECW Anarchy Rulz,PS,1999,0.06,0.04,0,0.01,0.11
10533,X-Men: Children of the Atom,PS,1998,0.06,0.04,0,0.01,0.1
12143,Legends of Wrestling II,GBA,2002,0.05,0.02,0,0,0.07
12635,Killing Zone,PS,1996,0.03,0.02,0,0,0.06
12801,WWF Wrestlemania: The Arcade Game,PS,1995,0.03,0.02,0,0,0.06
13307,Punch King,GBA,2002,0.03,0.01,0,0,0.05
16002,Mortal Kombat,PC,1994,0.01,0,0,0,0.01
