Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
137,Street Fighter II: The World Warrior,SNES,1992,2.47,0.83,2.87,0.12,6.3
275,Street Fighter IV,PS3,2009,2.02,1.06,0.58,0.53,4.19
286,Street Fighter II Turbo,SNES,1992,1.42,0.51,2.1,0.07,4.1
484,Street Fighter IV,X360,2009,1.82,0.71,0.15,0.26,2.95
1436,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011,0.81,0.29,0.11,0.14,1.35
1652,Super Street Fighter IV: 3D Edition,3DS,2011,0.55,0.44,0.14,0.09,1.22
1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,0.79,0.18,0.03,0.07,1.08
2469,Street Fighter X Tekken,PS3,2012,0.42,0.22,0.1,0.1,0.84
2513,Street Fighter V,PS4,2016,0.35,0.26,0.08,0.13,0.82
2641,Marvel vs. Capcom: Clash of Super Heroes,PS,1999,0.43,0.3,0,0.05,0.78
2719,Marvel vs. Capcom 2: New Age of Heroes,PS2,2002,0.31,0.24,0.13,0.08,0.76
2756,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,0.22,0.17,0.3,0.06,0.75
3073,Street Fighter Anniversary Collection,PS2,2004,0.32,0.25,0,0.08,0.66
3654,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,0.32,0.16,0.03,0.05,0.55
3849,Rival Schools: United By Fate,PS,1998,0.12,0.08,0.28,0.03,0.52
4157,Street Fighter X Tekken,X360,2012,0.31,0.1,0.03,0.03,0.47
4668,X-Men vs. Street Fighter,PS,1997,0.16,0.11,0.12,0.03,0.42
5340,Street Fighter Alpha: Warriors' Dreams,SAT,1996,0,0,0.35,0,0.35
5456,Street Fighter Alpha 3 MAX,PSP,2006,0.27,0.01,0.02,0.03,0.33
5467,Ultimate Marvel vs. Capcom 3,PSV,2011,0.2,0.09,0,0.05,0.33
6562,X-Men vs. Street Fighter,SAT,1997,0,0,0.26,0,0.26
6809,Marvel vs. Capcom Origins,PS2,2006,0.11,0.08,0.02,0.03,0.24
6836,Street Fighter X Tekken,PSV,2012,0.14,0.05,0.01,0.04,0.24
7512,Capcom Fighting Evolution,PS2,2004,0.1,0.08,0,0.03,0.2
7842,Darkstalkers 3,PS,1998,0.11,0.07,0,0.01,0.19
8078,Vampire Savior: The Lord of Vampire,SAT,1998,0,0,0.18,0,0.18
8641,Saturday Night Slam Masters,SNES,1994,0,0,0.16,0,0.16
8830,Street Fighter Anniversary Collection,XB,2004,0.11,0.03,0,0.01,0.15
8904,Street Fighter Alpha 3,GBA,2002,0.11,0.04,0,0,0.15
8910,Super Street Fighter II,GEN,1993,0,0,0.15,0,0.15
8935,Darkstalkers Chronicle: The Chaos Tower,PSP,2004,0.13,0,0,0.01,0.15
9160,Fate/Unlimited Codes,PS2,2008,0,0,0.14,0,0.14
9261,Marvel vs. Capcom 2: New Age of Heroes,XB,2002,0.09,0.03,0.01,0,0.14
9477,Street Fighter IV,PC,N/A,0.07,0.04,0,0.02,0.13
9674,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,0,0,0.12,0,0.12
9875,Onimusha: Blade Warriors,PS2,2003,0.06,0.05,0,0.02,0.12
10152,Capcom vs. SNK 2 EO,GC,2002,0.09,0.02,0,0,0.11
10231,Street Fighter Collection,SAT,1996,0,0,0.11,0,0.11
10434,UFC: Tapout 2,XB,2003,0.08,0.02,0,0,0.1
10544,Capcom vs. SNK 2 EO,XB,2003,0.08,0.02,0,0,0.1
10588,Tatsunoko vs. Capcom: Cross Generation of Heroes,Wii,2008,0,0,0.1,0,0.1
10649,Ultimate Marvel vs. Capcom 3,PS3,2011,0,0.04,0.04,0.01,0.1
10655,Marvel vs. Capcom: Clash of Super Heroes,DC,1999,0,0,0.1,0,0.1
10728,Ultra Street Fighter IV,PS4,2015,0,0.08,0,0.01,0.1
10797,Street Fighter Collection,PS,1997,0,0,0.09,0.01,0.1
11682,Fate/Tiger Colosseum,PSP,2007,0,0,0.08,0,0.08
12006,Ultimate Marvel vs. Capcom 3,X360,2011,0,0.03,0.04,0,0.07
12513,Marvel Super Heroes,SAT,1997,0,0,0.06,0,0.06
12553,Fate/Tiger Colosseum Upper,PSP,2008,0,0,0.06,0,0.06
12970,Fate/Unlimited Codes Portable,PSP,2009,0,0,0.05,0,0.05
13033,Sengoku Basara X,PS2,2008,0,0,0.05,0,0.05
13046,Street Fighter V,PC,2016,0,0.05,0,0,0.05
13244,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,0,0,0.05,0,0.05
13703,Capcom Fighting Evolution,XB,2005,0.03,0.01,0,0,0.04
14368,Pocket Fighter,SAT,1998,0,0,0.03,0,0.03
14406,Darkstalkers Resurrection,PS3,2013,0,0,0.03,0,0.03
15047,Street Fighter X Tekken,PC,2012,0,0.02,0,0,0.02
16458,Shijyou Saikyou no Deshi Kenichi: Gekitou! Ragnarok Hachikengou,PS2,2007,0,0,0.01,0,0.01
