Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
878,Def Jam Vendetta,PS2,2003,0.95,0.74,0,0.25,1.94
995,Def Jam: Fight for NY,PS2,2004,0.86,0.67,0,0.22,1.76
1088,Fight Night Round 3,PS3,2006,0.81,0.59,0.01,0.26,1.67
1188,Fight Night Round 3,PS2,2006,1.07,0.4,0,0.1,1.56
1220,Fight Night Round 4,PS3,2009,0.92,0.41,0,0.21,1.53
1232,Knockout Kings,PS,1997,1.07,0.39,0,0.06,1.52
1249,Simpsons Wrestling,PS,2001,0.23,1.16,0,0.11,1.51
1285,Fight Night 2004,PS2,2004,1.08,0.2,0,0.2,1.48
1292,Fight Night Round 3,X360,2006,1.33,0.03,0.01,0.1,1.47
1370,Fight Night Round 4,X360,2009,0.95,0.34,0,0.13,1.41
1377,Knockout Kings 2000,PS,1999,1.02,0.34,0,0.05,1.41
1649,WCW Mayhem,PS,1998,0.68,0.46,0,0.08,1.22
1778,Fight Night Champion,PS3,2011,0.45,0.51,0,0.19,1.15
2260,Knockout Kings 2000,N64,1999,0.63,0.27,0,0.02,0.92
2399,Fight Night Round 2,PS2,2005,0.72,0.03,0,0.12,0.87
2565,Fight Night Champion,X360,2011,0.4,0.33,0,0.07,0.8
2611,WCW Mayhem,N64,1999,0.63,0.15,0,0.01,0.79
2670,Marvel Nemesis: Rise of the Imperfects,PS2,2005,0.64,0.02,0,0.1,0.77
3001,Fight Night 2004,XB,2004,0.51,0.15,0,0.02,0.68
3019,Fight Night Round 2004,XB,2004,0.46,0.18,0,0.03,0.67
3342,Fight Night Round 2,XB,2005,0.42,0.16,0,0.02,0.6
3579,Knockout Kings 2001,PS2,2001,0.28,0.21,0,0.07,0.56
3717,Def Jam: Fight for NY,XB,N/A,0.43,0.1,0,0.02,0.54
3833,Fight Night Round 3,PSP,2006,0.46,0.02,0,0.05,0.52
4773,Knockout Kings 2001,PS,2000,0.23,0.15,0,0.03,0.41
5014,Marvel Nemesis: Rise of the Imperfects,GC,2005,0.3,0.08,0,0.01,0.38
5041,EA Sports MMA,PS3,2010,0.16,0.15,0.01,0.06,0.38
5251,EA Sports MMA,X360,2010,0.23,0.1,0,0.03,0.36
5506,Fight Night Round 3,XB,2006,0.26,0.06,0,0.01,0.33
5651,Marvel Nemesis: Rise of the Imperfects,PSP,2005,0.29,0,0,0.03,0.32
6140,Marvel Nemesis: Rise of the Imperfects,XB,2005,0.21,0.06,0,0.01,0.28
6242,Warpath: Jurassic Park,PS,1998,0.15,0.1,0,0.02,0.28
6698,Def Jam Vendetta,GC,2003,0.19,0.05,0,0.01,0.25
7137,FaceBreaker K.O. Party,Wii,2008,0.2,0.01,0,0.02,0.22
7142,Def Jam: Fight for NY,GC,2004,0.17,0.05,0,0.01,0.22
7807,FaceBreaker,X360,2008,0.15,0.02,0,0.02,0.19
8258,FaceBreaker,PS3,2008,0.13,0.03,0,0.02,0.17
8275,Fight Night Round 2,GC,2005,0.13,0.03,0,0,0.17
11281,Marvel Nemesis: Rise of the Imperfects,DS,2005,0.08,0,0,0.01,0.08
