Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5527,NeoGeo Battle Coliseum,PS2,2005,0.16,0.13,0,0.04,0.33
6567,King of Fighters: Maximum Impact,PS2,2004,0.13,0.1,0,0.03,0.26
7543,The King of Fighters Collection: The Orochi Saga,PS2,2006,0.1,0.08,0,0.03,0.2
7744,The King of Fighters XI,PS2,2006,0.07,0.06,0.04,0.02,0.19
8572,The King of Fighters XII,PS3,2009,0.11,0.01,0.03,0.01,0.16
8842,Samurai Shodown Anthology,PS2,2008,0.07,0.06,0,0.02,0.15
9723,The King of Fighters '98 Ultimate Match,PS2,2008,0.04,0.03,0.03,0.01,0.12
9794,The King of Fighters Collection: The Orochi Saga,Wii,2008,0.11,0,0,0.01,0.12
10080,The King of Fighters XII,X360,2009,0.09,0,0.01,0.01,0.11
10215,The King of Fighters 2000/2001,PS2,2003,0.05,0.04,0,0.01,0.11
10618,SNK vs. Capcom: SVC Chaos,XB,2004,0.08,0.02,0,0,0.1
10981,Samurai Shodown Anthology,PSP,N/A,0.08,0,0,0.01,0.09
11427,The King of Fighters 2006,PS2,2006,0.01,0.01,0.05,0,0.08
11825,The King of Fighters Collection: The Orochi Saga,PSP,2008,0.07,0,0,0,0.07
12372,Samurai Shodown Anthology,Wii,2008,0.06,0,0,0,0.06
13991,Fatal Fury: Battle Archives Volume 1,PS2,2006,0.02,0.01,0,0,0.04
15120,Samurai Shodown V,XB,2006,0.02,0,0,0,0.02
15602,The King of Fighters Collection: The Orochi Saga (JP sales),PS2,2006,0,0,0.02,0,0.02
16057,Samurai Shodown Anthology (JP sales),PS2,2008,0,0,0.01,0,0.01
16283,Fatal Fury: Battle Archives Volume 1 (JP sales),PS2,2006,0,0,0.01,0,0.01
16418,World Heroes Anthology,PS2,2007,0,0,0.01,0,0.01
