Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4879,Rumble Roses,PS2,2004,0.19,0.15,0,0.05,0.39
8207,Castlevania Judgment,Wii,2008,0.13,0.02,0.01,0.01,0.18
8492,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,0,0,0.16,0,0.16
9379,Rumble Roses XX,X360,2006,0.07,0.01,0.04,0.01,0.13
10414,Fairy Tail: Portable Guild,PSP,2010,0,0,0.11,0,0.11
10492,Lucha Libre AAA: Heroes del Ring,PS3,2010,0.1,0,0,0.01,0.1
10932,Bloody Roar 4,PS2,2003,0.05,0.04,0,0.01,0.09
11734,Fairy Tail: Portable Guild 2,PSP,2011,0,0,0.08,0,0.08
11868,TMNT: Mutant Melee,GC,2005,0.06,0.01,0,0,0.07
11987,Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,0.04,0.01,0.02,0,0.07
12702,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,0,0,0.06,0,0.06
13000,Lucha Libre AAA: Heroes del Ring,X360,2010,0.05,0,0,0,0.05
13096,Rave Master,GC,2002,0,0,0.05,0,0.05
13099,Kinnikuman Muscle Grand Prix Max,PS2,2006,0,0,0.05,0,0.05
13746,Deadly Arts,N64,1998,0.03,0.01,0,0,0.04
14202,Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009,0,0,0.03,0,0.03
15030,Kensei: Sacred Fist,PS,1997,0.01,0.01,0,0,0.02
15634,TMNT: Mutant Melee,XB,2005,0.01,0,0,0,0.02
15931,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011,0,0,0.02,0,0.02
16199,Rave Master: Special Attack Force!,GBA,2002,0.01,0,0,0,0.01
