Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
620,Mortal Kombat: Deadly Alliance,PS2,2002,1.81,0.52,0,0.15,2.49
852,Mortal Kombat vs. DC Universe,PS3,2008,1.48,0.3,0,0.22,2
892,Mortal Kombat vs. DC Universe,X360,2008,1.53,0.24,0,0.16,1.93
916,Mortal Kombat: Deception,PS2,2004,0.92,0.72,0,0.24,1.88
1940,Mortal Kombat: Armageddon,PS2,2006,0.88,0.04,0,0.14,1.06
2169,Mortal Kombat: Deadly Alliance,XB,2002,0.77,0.15,0,0.04,0.96
2535,Ready 2 Rumble Boxing: Round 2,PS2,2000,0.4,0.31,0,0.1,0.81
2715,Mortal Kombat: Deception,XB,2004,0.61,0.12,0,0.03,0.76
2772,Mortal Kombat: Unchained,PSP,2006,0.67,0.01,0,0.06,0.74
3845,Ready 2 Rumble Boxing: Round 2,PS,2000,0.29,0.2,0,0.03,0.52
4345,TNA iMPACT!,X360,2008,0.26,0.15,0,0.04,0.45
4751,Mortal Kombat: Deadly Alliance,GC,2002,0.31,0.08,0,0.01,0.41
4762,TNA iMPACT!,PS3,2008,0.22,0.12,0,0.06,0.41
4831,Mortal Kombat Mythologies: Sub-Zero,N64,1997,0.32,0.07,0,0,0.4
6032,War Gods,N64,1997,0.23,0.06,0,0,0.29
6684,Mortal Kombat: Armageddon,Wii,2007,0.21,0.02,0,0.02,0.25
6873,Ready 2 Rumble Boxing: Round 2,N64,2000,0.19,0.05,0,0,0.24
7140,TNA iMPACT!,PS2,2008,0.1,0,0,0.12,0.22
7453,Mortal Kombat: Special Forces,PS,2000,0.12,0.08,0,0.01,0.21
8567,TNA iMPACT!,Wii,2008,0.14,0.01,0,0.01,0.16
10036,Ultimate Mortal Kombat,DS,2007,0.09,0.01,0,0.01,0.11
10172,Mortal Kombat: Deception,GC,2005,0.09,0.02,0,0,0.11
11356,Mortal Kombat Kollection,PS2,2008,0.04,0.03,0,0.01,0.08
16071,Mortal Kombat: Tournament Edition,GBA,2003,0.01,0,0,0,0.01
16566,Mortal Kombat: Deadly Alliance,GBA,2002,0.01,0,0,0,0.01
