Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
295,Tekken Tag Tournament,PS2,2000,1.68,1.51,0.51,0.35,4.05
312,Tekken 5,PS2,2005,0.93,1.94,0.31,0.7,3.87
386,Tekken 4,PS2,2002,1.55,1.27,0.33,0.29,3.44
541,Tekken 6,PS3,2009,1.2,0.98,0.17,0.43,2.78
821,SoulCalibur II,PS2,2003,1.06,0.62,0.13,0.25,2.06
1253,SoulCalibur II,GC,2003,0.99,0.32,0.11,0.08,1.5
1327,Dragon Ball Z,SNES,1993,0,0,1.45,0,1.45
1504,Tekken 6,X360,2009,0.71,0.42,0.05,0.13,1.31
1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,0.42,0.47,0.15,0.18,1.22
1676,Dragon Ball Z: La Legende Saien,SNES,1993,0,0,1.2,0,1.2
1917,Naruto: Ultimate Ninja Storm,PS3,2008,0.49,0.35,0.09,0.16,1.08
1931,SoulCalibur III,PS2,2005,0.74,0.15,0.13,0.05,1.07
1960,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,0.39,0.41,0.1,0.16,1.06
1975,Tag Team Match M.U.S.C.L.E.,NES,1985,0,0,1.05,0,1.05
1979,Dragon Ball: XenoVerse,PS4,2015,0.3,0.48,0.12,0.15,1.05
2066,SoulCalibur II,XB,2003,0.78,0.18,0.03,0,1
2172,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,0.32,0.33,0.15,0.15,0.96
2244,Pokken Tournament,WiiU,2016,0.47,0.22,0.16,0.07,0.93
2372,Tekken Tag Tournament 2,PS3,2012,0.28,0.33,0.13,0.14,0.88
2502,Dragon Ball: Raging Blast 2,PS3,2010,0.42,0.2,0.11,0.09,0.83
2627,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,0.43,0.27,0.01,0.07,0.79
2673,Dragon Ball: Raging Blast,PS3,2009,0.37,0.19,0.11,0.1,0.77
2700,SoulCalibur V,PS3,2012,0.35,0.24,0.07,0.1,0.76
2786,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,0.27,0.25,0.14,0.08,0.74
2797,Dragon Ball Z: Ultime Menace,SNES,1993,0,0,0.73,0,0.73
3145,Dragon Ball: Raging Blast 2,X360,2010,0.49,0.09,0.01,0.05,0.64
3211,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,0,0,0.63,0,0.63
3269,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,0.27,0.18,0.09,0.08,0.62
3367,From TV Animation One Piece: Grand Battle 2,PS,2002,0,0,0.56,0.04,0.6
3419,SoulCalibur V,X360,2012,0.39,0.14,0.02,0.04,0.59
3479,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,0.05,0.02,0.5,0.01,0.58
3530,Naruto: Ultimate Ninja 2,PS2,2004,0.47,0.02,0,0.08,0.57
3630,Dragon Ball: XenoVerse,PS3,2015,0.15,0.2,0.14,0.07,0.55
3721,Kidou Senshi Gundam: Extreme VS,PS3,2011,0,0,0.54,0,0.54
3722,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,0.39,0.1,0.01,0.04,0.54
3881,Naruto Shippuden: Ultimate Ninja Storm 3,X360,2013,0.29,0.17,0.01,0.04,0.51
3892,SoulCalibur: Broken Destiny,PSP,2009,0.12,0.2,0.07,0.12,0.51
3907,Dragon Ball: Raging Blast,X360,2009,0.36,0.09,0.02,0.04,0.51
4165,Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014,0.15,0.16,0.09,0.08,0.47
4377,Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,0.26,0.14,0.01,0.04,0.45
4618,Mobile Suit Gundam: Gundam vs. Gundam,PSP,2008,0,0,0.42,0,0.42
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,0,0,0.41,0,0.41
5001,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,0.13,0.04,0.19,0.03,0.38
5071,Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,0,0,0.38,0,0.38
5169,Dragon Ball Z: Infinite World,PS2,2008,0.08,0.06,0.21,0.02,0.36
5176,Yuu Yuu Hakusho,SNES,1993,0,0,0.36,0,0.36
5181,One Piece: Gigant Battle!,DS,2010,0,0,0.36,0,0.36
5283,Tekken Tag Tournament 2,X360,2012,0.19,0.12,0.01,0.03,0.35
5298,One Piece: Gigant Battle 2 Shin Sekai,DS,2011,0,0,0.35,0,0.35
5299,Pac-Man All-Stars,PS3,2011,0.2,0.08,0.04,0.04,0.35
5346,Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,0.09,0.07,0.15,0.04,0.35
5359,SoulCalibur,DC,1999,0,0,0.34,0,0.34
5504,Dragon Ball Z: Battle of Z,PS3,2014,0.1,0.11,0.06,0.05,0.33
5556,Dragon Ball Z: Extreme Butoden,3DS,2015,0.12,0.03,0.16,0.02,0.33
5579,J Stars Victory Vs.,PS3,2014,0.04,0.06,0.2,0.02,0.32
5583,One Piece: Romance Dawn - Bouken no Yoake,PSP,2012,0,0,0.32,0,0.32
5598,Tekken 6,PSP,2009,0.15,0.04,0.1,0.03,0.32
5669,From TV Animation One Piece: Grand Battle! 3,PS2,2003,0,0,0.32,0,0.32
5701,Dragon Ball: XenoVerse,XOne,2015,0.18,0.11,0,0.03,0.31
5762,Naruto: Ninja Destiny (US sales),DS,2006,0.31,0,0,0,0.31
5819,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,0,0,0.31,0,0.31
6007,From TV Animation One Piece: Treasure Battle!,GC,2002,0,0,0.28,0.01,0.29
6126,One Piece: Burning Blood,PS4,2016,0.1,0.08,0.07,0.04,0.28
6159,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,0.19,0.06,0,0.03,0.28
6290,Dragon Ball GT: Final Bout,PS,1997,0.02,0.02,0.22,0.02,0.27
6308,Bishoujo Senshi Sailormoon R,SNES,1993,0,0,0.27,0,0.27
6375,Dragon Ball: XenoVerse,X360,2015,0.16,0.08,0,0.02,0.27
6417,InuYasha: Feudal Combat,PS2,2005,0.13,0.1,0,0.03,0.27
6438,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,0.11,0.04,0.09,0.03,0.27
6473,J Stars Victory Vs.,PSV,2014,0,0.07,0.17,0.02,0.26
6490,Naruto: Ultimate Ninja Heroes,PSP,2006,0.26,0,0,0,0.26
6522,Gundam Battle Universe,PSP,2008,0,0,0.26,0,0.26
6695,J Stars Victory Vs.,PS4,2015,0.07,0.14,0,0.04,0.25
7022,Gundam Battle Assault,PS,1998,0.13,0.09,0,0.02,0.23
7042,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,0.13,0.08,0,0.02,0.23
7080,Tales of VS.,PSP,2009,0,0,0.23,0,0.23
7192,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,0.03,0.02,0.17,0.01,0.22
7387,Dragon Ball Z Hyper Dimension,SNES,1995,0,0,0.21,0,0.21
7562,From TV Animation One Piece: Grand Battle! 3,GC,2003,0,0,0.2,0.01,0.2
7747,Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,1996,0,0,0.18,0.01,0.19
7838,Naruto: Ninja Destiny,DS,2006,0.02,0.01,0.16,0,0.19
7980,Tekken Tag Tournament 2,WiiU,2012,0.09,0.07,0.01,0.01,0.19
8384,Naruto Shippuden: Ultimate Ninja 5,PS2,2007,0,0,0.17,0,0.17
8565,Namco Classic Fighter Collection,PS2,2008,0.08,0.06,0,0.02,0.16
8723,Digimon Battle Spirit 2,GBA,2003,0.11,0.04,0,0,0.15
8773,Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009,0.14,0,0,0.01,0.15
8845,Saint Seiya: Soldiers' Soul,PS4,2015,0,0.09,0.04,0.02,0.15
8912,Battle Stadium D.O.N,PS2,2006,0,0,0.15,0,0.15
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,0,0,0.15,0,0.15
9135,Gundam: The Battle Master,PS,1997,0,0,0.13,0.01,0.14
9220,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,GC,2002,0.04,0.01,0.08,0,0.14
9737,Dragon Ball Z: Battle of Z,PSV,2014,0,0.04,0.06,0.02,0.12
9838,Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,PSP,2011,0,0,0.12,0,0.12
9894,One Piece: Super Grand Battle! X,3DS,2014,0,0,0.12,0,0.12
10127,InuYasha: A Feudal Fairy Tale,PS,2002,0,0,0.1,0.01,0.11
10266,One Piece: Burning Blood,PSV,2016,0,0.03,0.07,0.01,0.11
10382,Kamen Rider: Climax Heroes,PS2,2009,0,0,0.11,0,0.11
