Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
40,Super Smash Bros. Brawl,Wii,2008,6.75,2.61,2.66,1.02,13.04
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,3.24,1.35,2.42,0.43,7.45
108,Super Smash Bros. Melee,GC,2001,4.41,1.04,1.39,0.22,7.07
158,Super Smash Bros.,N64,1999,2.95,0.6,1.97,0.04,5.55
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,2.59,1.06,0.8,0.57,5.02
423,Killer Instinct,SNES,1995,2.26,0.72,0.12,0.1,3.2
466,Mike Tyson's Punch-Out!!,NES,1987,2.03,0.47,0.45,0.07,3.02
648,Pro Wrestling,NES,1987,0.77,0.18,1.42,0.03,2.4
851,Super Street Fighter II,SNES,1993,0.52,0.16,1.29,0.03,2
1999,Naruto: Clash of Ninja 2,GC,2003,0.44,0.12,0.45,0.03,1.04
2516,Killer Instinct Gold,N64,1996,0.61,0.19,0,0.01,0.82
2765,Jump Ultimate Stars,DS,2006,0,0,0.74,0,0.74
3643,Jump Super Stars,DS,2005,0,0,0.55,0,0.55
3832,Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,0.45,0.04,0,0.04,0.52
4933,Custom Robo V2,N64,2000,0,0,0.34,0.05,0.39
7546,Tekken 3D: Prime Edition,3DS,2012,0.06,0.08,0.05,0.01,0.2
8398,Custom Robo Arena,DS,2006,0.02,0.02,0.12,0,0.17
8428,Street Fighter Alpha 2,SNES,1996,0,0,0.17,0,0.17
