Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3490,BlazBlue: Calamity Trigger,PS3,2009,0.36,0.1,0.06,0.06,0.58
4710,BlazBlue: Continuum Shift,PS3,2010,0.21,0.08,0.09,0.04,0.41
5190,BlazBlue: Calamity Trigger,X360,2009,0.21,0.08,0.04,0.03,0.36
5688,BlazBlue: Continuum Shift,X360,2010,0.23,0.04,0.02,0.02,0.32
7545,Arcana Heart 3,PS3,2011,0.04,0.05,0.1,0.02,0.2
9516,BlazBlue: Continuum Shift II,PSP,2011,0.03,0.02,0.07,0.01,0.13
9786,Blazblue: Continuum Shift Extend,PSV,2011,0.03,0.05,0.02,0.02,0.12
10229,BlazBlue: Calamity Trigger Portable,PSP,2010,0.07,0.01,0.03,0.01,0.11
10358,BlazBlue: Continuum Shift II,3DS,2011,0.05,0.01,0.04,0.01,0.11
11079,Blazblue: Continuum Shift Extend,PS3,2011,0,0,0.09,0,0.09
11253,Guilty Gear XX Accent Core Plus,PSP,2008,0.03,0.01,0.04,0.01,0.08
11897,Guilty Gear Xrd -Revelator-,PS4,2016,0.02,0,0.05,0,0.07
12014,Guilty Gear Xrd -Revelator-,PS3,2016,0.01,0.02,0.02,0.01,0.07
12420,Guilty Gear XX Accent Core Plus,PS2,2008,0.03,0.02,0,0.01,0.06
12906,Arcana Heart 3,X360,2011,0,0.03,0.02,0,0.05
14372,Guilty Gear XX Accent Core Plus,Wii,2009,0.01,0.02,0,0,0.03
16143,BlazBlue: Calamity Trigger,PC,2010,0,0.01,0,0,0.01
