Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6141,The King of Fighters '95,SAT,1995,0,0,0.28,0,0.28
11303,The King of Fighters '98: Dream Match Never Ends,PS,1999,0.05,0.03,0,0.01,0.08
12145,Fatal Fury: Battle Archives Volume 2,PS2,2007,0.03,0.03,0,0.01,0.07
12936,Fatal Fury: Wild Ambition,PS,1999,0.03,0.02,0,0,0.05
13462,The King of Fighters 2002: Unlimited Match,PS2,2009,0,0,0.04,0,0.04
13555,The King of Fighters Kyo,PS,1998,0,0,0.04,0,0.04
13789,King of Fighters: Maximum Impact Regulation A,PS2,2007,0,0,0.04,0,0.04
14652,The King of Fighters Portable '94~'98: Chapter of Orochi,PSP,2010,0,0,0.03,0,0.03
14670,The King of Fighters 02/03,XB,2005,0.02,0.01,0,0,0.03
15314,The King of Fighters NeoWave,XB,2006,0.02,0,0,0,0.02
16160,King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,0,0,0.01,0,0.01
16187,Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,2007,0,0,0.01,0,0.01
