Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6683,Samurai Shodown II,NG,1994,0,0,0.25,0,0.25
7047,The King of Fighters '95 (CD),NG,1994,0,0,0.23,0,0.23
7423,The King of Fighters '96,SAT,1996,0,0,0.21,0,0.21
7500,The King of Fighters '95,NG,1995,0,0,0.2,0,0.2
7555,Samurai Spirits (CD),NG,1994,0,0,0.2,0,0.2
8250,The King of Fighters '97,PS,1998,0,0,0.16,0.01,0.17
8279,The King of Fighters '97,SAT,1998,0,0,0.17,0,0.17
9198,The King of Fighters '94 (CD),NG,1993,0,0,0.14,0,0.14
9719,The King of Fighters '94,NG,1994,0,0,0.12,0,0.12
10083,The King of Fighters '99,PS,2000,0,0,0.11,0.01,0.11
10527,The King of Fighters: Dream Match 1999,DC,1999,0,0,0.1,0,0.1
10710,Real Bout Garou Densetsu,SAT,1996,0,0,0.1,0,0.1
11471,The King of Fighters '96,PS,1997,0,0,0.07,0.01,0.08
11507,Samurai Shodown III,NG,1995,0,0,0.08,0,0.08
11902,The King of Fighters: Evolution,DC,2000,0,0,0.07,0,0.07
12086,Samurai Shodown,NG,1993,0,0,0.07,0,0.07
12189,The King of Fighters 02/03,PS2,2005,0.03,0.03,0,0.01,0.07
12682,Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,0,0,0.05,0,0.06
12789,The King of Fighters '96,NG,1996,0,0,0.06,0,0.06
13417,Garou Densetsu 3: Road to the Final Victory,SAT,1996,0,0,0.05,0,0.05
13916,Art of Fighting 3: The Path of the Warrior,NG,1996,0,0,0.04,0,0.04
16509,Samurai Shodown: Warrios Rage,PS,1999,0.01,0,0,0,0.01
