Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
359,WWF SmackDown!,PS,2000,2.01,1.35,0.06,0.16,3.58
424,WWF SmackDown! 2: Know Your Role,PS,2000,1.76,1.21,0.07,0.16,3.2
487,WWE SmackDown! vs. RAW 2006,PS2,2005,1.45,1.11,0.04,0.33,2.94
519,WWE SmackDown! vs. Raw,PS2,2002,1.32,1.08,0.04,0.39,2.83
525,WWE SmackDown! Here Comes the Pain,PS2,2003,1.32,1.06,0.04,0.38,2.8
531,WWF SmackDown! Just Bring It,PS2,2001,1.19,1.15,0.04,0.41,2.79
597,WWE SmackDown vs. RAW 2007,PS2,2006,1.4,0.88,0.03,0.26,2.58
661,WCW/nWo Revenge,N64,1998,1.94,0.39,0.03,0.02,2.38
678,WWE SmackDown vs Raw 2008,PS2,2007,0.92,0,0.01,1.41,2.34
812,UFC 2009 Undisputed,X360,2009,1.48,0.39,0,0.19,2.07
919,WCW Nitro,PS,1998,1.42,0.36,0.03,0.07,1.88
988,UFC 2009 Undisputed,PS3,2009,1.07,0.45,0.01,0.24,1.77
1066,WCW vs. nWo: World Tour,N64,1997,1.37,0.28,0.03,0.02,1.69
1067,WCW/NWO Thunder,PS,1998,1.1,0.48,0.04,0.07,1.69
1261,WWF No Mercy,N64,2000,1.2,0.27,0.02,0.02,1.5
1281,WWF WrestleMania 2000,N64,1999,1.2,0.25,0.02,0.02,1.48
1314,WCW vs the World,PS,1998,1.17,0.2,0.04,0.05,1.46
1340,WWE SmackDown vs Raw 2008,X360,2007,0.92,0.38,0,0.13,1.44
1357,UFC Undisputed 2010,PS3,2010,0.8,0.41,0.02,0.19,1.42
1467,WWE SmackDown vs Raw 2008,PS3,2007,0.62,0.5,0.01,0.21,1.33
1479,UFC Undisputed 2010,X360,2010,0.9,0.31,0,0.11,1.33
1560,WWE '12,X360,2011,0.74,0.4,0,0.12,1.27
1609,WWE SmackDown vs. Raw 2009,PS2,2008,0.69,0,0,0.55,1.24
1690,WWE SmackDown vs Raw 2008,PSP,2007,0.45,0.47,0,0.28,1.19
1714,WWE '12,PS3,2011,0.53,0.46,0.02,0.17,1.18
1715,WWE SmackDown vs. Raw 2010,PS3,2009,0.48,0.49,0.01,0.2,1.18
1857,WWE SmackDown vs. Raw 2011,PS3,2010,0.44,0.46,0.01,0.18,1.1
1927,WWE SmackDown vs. Raw 2010,PS2,2009,0.53,0.01,0,0.54,1.07
1983,WWE SmackDown vs. Raw 2010,X360,2009,0.56,0.38,0.01,0.11,1.05
2101,WWE SmackDown vs Raw 2008,Wii,2007,0.38,0.5,0,0.11,0.99
2191,WWE SmackDown vs. Raw 2009,PS3,2008,0.51,0.31,0.01,0.13,0.95
2255,WWE SmackDown vs. Raw 2009,X360,2008,0.58,0.26,0,0.08,0.92
2357,WWE SmackDown vs. Raw 2011,X360,2010,0.44,0.36,0,0.08,0.88
2482,WWE SmackDown vs. Raw 2009,Wii,2008,0.44,0.31,0,0.08,0.83
2734,WWE SmackDown vs. Raw 2009,PSP,2008,0.41,0.21,0,0.14,0.75
2740,WWE SmackDown vs. Raw 2010,Wii,2009,0.51,0.17,0,0.07,0.75
2893,WWE SmackDown vs. Raw 2011,PSP,2010,0.22,0.31,0,0.17,0.71
3044,WWE SmackDown vs. RAW 2007,PSP,2006,0.33,0.2,0,0.14,0.67
3270,WWE SmackDown vs. Raw 2010,PSP,2009,0.25,0.23,0,0.14,0.62
3591,WWE Raw 2,XB,2003,0.43,0.11,0,0.02,0.56
3641,WWF Raw,XB,2002,0.4,0.13,0,0.02,0.55
3644,Legends of WrestleMania,PS3,2009,0.3,0.17,0,0.07,0.55
3739,WWE SmackDown vs. Raw 2010,DS,2009,0.35,0.14,0,0.05,0.54
3919,WWE SmackDown vs. RAW 2007,X360,2006,0.44,0.03,0,0.04,0.51
4033,WWE Wrestlemania X8,GC,2002,0.38,0.1,0,0.01,0.49
4171,WWE SmackDown vs. Raw 2011,Wii,2010,0.3,0.13,0,0.04,0.47
4391,WWE WrestleMania 21,XB,2005,0.34,0.1,0,0.02,0.45
4396,WWE Day of Reckoning,GC,2004,0.35,0.09,0,0.01,0.45
4612,Marvel Super Hero Squad,DS,2009,0.37,0.02,0,0.03,0.42
4663,WWE All Stars,PS3,2011,0.16,0.18,0,0.07,0.42
4809,WWE SmackDown! vs. RAW 2006,PSP,2005,0.36,0.01,0,0.03,0.4
4853,Legends of WrestleMania,X360,2009,0.2,0.16,0,0.04,0.4
5072,WWE SmackDown vs. Raw 2011,PS2,2010,0.24,0.07,0,0.07,0.38
5078,Marvel Super Hero Squad,Wii,2009,0.31,0.03,0,0.03,0.38
5235,WWE '12,Wii,2011,0.24,0.09,0,0.03,0.36
5318,WWE All Stars,X360,2011,0.18,0.14,0,0.03,0.35
5388,WWE Day of Reckoning 2,GC,2005,0.26,0.07,0,0.01,0.34
5468,WWE Wrestlemania XIX,GC,2003,0.26,0.07,0,0.01,0.33
5904,Pride FC: Fighting Championships,PS2,2003,0.15,0.11,0,0.04,0.3
6037,Marvel Super Hero Squad,PS2,2009,0.14,0.11,0,0.04,0.29
6333,WWE Road to WrestleMania X8,GBA,2002,0.19,0.07,0,0,0.27
7071,WWE All Stars,3DS,2011,0.15,0.06,0,0.02,0.23
