Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5090,Naruto Shippuden: Ninja Destiny 2,DS,2008,0.19,0.03,0.13,0.02,0.37
10705,Naruto Shippuden: Gekito Ninja Taisen! EX,Wii,2007,0,0,0.1,0,0.1
11126,Naruto Shippuden: Gekito Ninja Taisen! EX 2,Wii,2007,0,0,0.09,0,0.09
11344,Naruto Shippuden: Shinobi Rumble,DS,2010,0.03,0,0.05,0,0.08
11659,Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007,0,0,0.08,0,0.08
11662,Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,DS,2008,0,0,0.08,0,0.08
11746,Naruto Shippuden: Gekito Ninja Taisen! EX 3,Wii,2008,0,0,0.07,0,0.07
12438,Naruto Shippuden: Gekito Ninja Taisen! Special,Wii,2010,0,0,0.06,0,0.06
12664,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,2007,0,0,0.06,0,0.06
12716,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,DS,2009,0,0,0.06,0,0.06
