Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2060,Dead or Alive 2,PS2,2000,0.3,0.24,0.38,0.08,1
3127,Dead or Alive 5,PS3,2012,0.23,0.15,0.2,0.07,0.65
3988,Dead or Alive Ultimate,XB,2004,0.3,0.1,0.08,0.02,0.5
4195,Dead or Alive 4,X360,2005,0.3,0.03,0.1,0.03,0.47
5484,Dead or Alive 5,PS4,2015,0.09,0.13,0.08,0.04,0.33
5946,Fist of the North Star: Ken's Rage 2,PS3,2012,0,0,0.3,0,0.3
8021,Dead or Alive,SAT,1997,0,0,0.18,0,0.18
10001,DOA 2: Dead or Alive 2 Hardcore,PS2,2000,0,0,0.11,0,0.11
10774,Dead or Alive 5,PSV,2013,0,0.05,0.03,0.02,0.1
11307,Dead or Alive 5,XOne,2015,0.04,0.03,0.01,0.01,0.08
12296,Fist of the North Star: Ken's Rage 2,X360,2012,0.03,0.01,0.02,0,0.06
15409,Fist of the North Star: Ken's Rage 2,WiiU,2013,0,0,0.02,0,0.02
