Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1167,SoulCalibur IV,X360,2008,0.92,0.44,0.07,0.15,1.59
1289,SoulCalibur IV,PS3,2008,0.72,0.41,0.14,0.2,1.47
3333,Fighters Uncaged,X360,2010,0.31,0.24,0,0.06,0.61
4941,Kengo: Master of Bushido,PS2,2000,0.16,0.13,0.06,0.04,0.39
5223,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,0.33,0,0,0.03,0.36
5650,Ultimate Fighting Championship: Throwdown,PS2,2002,0.16,0.12,0,0.04,0.32
5850,PowerUp Heroes,X360,2011,0.18,0.1,0,0.03,0.3
6501,Tom and Jerry in War of the Whiskers,PS2,2002,0.13,0.1,0,0.03,0.26
6609,Super Street Fighter II: Turbo Revival,GBA,2001,0.18,0.07,0,0,0.25
6680,Ultimate Fighting Championship,PS,2000,0.14,0.09,0,0.02,0.25
7327,Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009,0.11,0.08,0,0.03,0.21
7475,Final Fight One,GBA,2001,0.09,0.03,0.08,0,0.21
7875,Fighter Within,XOne,2013,0.11,0.07,0,0.02,0.19
8378,Sword of the Samurai,PS2,N/A,0,0,0.17,0,0.17
8587,Tom and Jerry in Fists of Furry,N64,2000,0.13,0.03,0,0,0.16
9066,Victorious Boxers: Revolution,Wii,2007,0.07,0,0.06,0.01,0.14
11624,Ultimate Fighting Championship: Throwdown,GC,2002,0.06,0.02,0,0,0.08
11847,Mucha Lucha! Mascaritas of the Lost Code,GBA,2003,0.05,0.02,0,0,0.07
13557,WarTech: Senko no Ronde,X360,2006,0.04,0,0,0,0.04
