Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2026,Street Fighter Alpha 3,PS,1998,0.38,0.12,0.51,0.02,1.03
2437,Street Fighter Alpha 2,PS,1996,0.14,0.09,0.57,0.06,0.85
2451,Street Fighter EX3,PS2,2000,0.32,0.25,0.2,0.08,0.85
2696,Street Fighter Alpha: Warriors' Dreams,PS,1995,0.17,0.11,0.43,0.05,0.76
2748,Street Fighter EX Plus Alpha,PS,1997,0.28,0.19,0.23,0.05,0.75
4290,Bloody Roar II,PS,1999,0.25,0.17,0,0.03,0.46
4895,Bloody Roar,PS,1997,0.22,0.15,0,0.03,0.39
5294,Bloody Roar 3,PS2,2001,0.15,0.11,0.05,0.04,0.35
5379,Marvel Super Heroes,PS,1997,0.19,0.13,0,0.02,0.34
5395,Night Warriors: Darkstalkers' Revenge,SAT,1995,0,0,0.34,0,0.34
5647,Street Fighter Alpha 2,SAT,1995,0,0,0.32,0,0.32
5911,Star Gladiator Episode: I Final Crusade,PS,1996,0.07,0.05,0.15,0.02,0.3
6568,Marvel Super Heroes vs. Street Fighter,PS,1998,0.14,0.1,0,0.02,0.26
6965,Street Fighter EX2 Plus,PS,1998,0.13,0.09,0,0.02,0.23
7106,Pocket Fighter,PS,1997,0.06,0.04,0.12,0.01,0.23
7252,Capcom vs. SNK,DC,2000,0,0,0.22,0,0.22
9095,Marvel vs. Capcom 2: New Age of Heroes,DC,2000,0,0,0.14,0,0.14
9305,Guilty Gear,PS,1998,0.03,0.02,0.07,0.01,0.14
15163,Jojo's Bizarre Adventure,PS,1999,0.01,0.01,0,0,0.02
