Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
509,Mortal Kombat,PS3,2011,1.98,0.55,0,0.32,2.85
554,Mortal Kombat X,PS4,2015,1.47,0.76,0,0.47,2.7
786,Mortal Kombat,X360,2011,1.63,0.33,0,0.15,2.11
1372,Injustice: Gods Among Us,X360,2013,0.97,0.34,0,0.11,1.41
1446,Mortal Kombat X,XOne,2015,1,0.21,0,0.13,1.35
1592,Injustice: Gods Among Us,PS3,2013,0.48,0.53,0.01,0.23,1.25
2395,Injustice: Gods Among Us,PS4,2013,0.46,0.29,0,0.12,0.87
2697,Mortal Kombat,PSV,2012,0.47,0.18,0,0.12,0.76
7610,Injustice: Gods Among Us,WiiU,2013,0.1,0.08,0,0.02,0.2
9159,Injustice: Gods Among Us,PSV,2013,0.11,0.01,0,0.02,0.14
13025,Mortal Kombat X,PC,2015,0.01,0.04,0,0,0.05
