Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3411,Spelling Challenges and more!,DS,2007,0.54,0,0,0.04,0.59
3538,Grease,Wii,2010,0.27,0.25,0,0.05,0.57
5410,Smart Girl's Party Game,DS,2008,0.31,0,0,0.02,0.34
6504,Smart Girl's Playhouse,DS,2007,0.24,0,0,0.02,0.26
7548,Jillian Michaels' Fitness Adventure,X360,2011,0.17,0.02,0,0.01,0.2
8424,Learning to Spell,DS,2010,0.16,0,0,0.01,0.17
8534,Grease Dance,X360,2011,0.11,0.03,0,0.01,0.16
8655,Left Brain Right Brain: Use Both Hands Train Both Sides,DS,2007,0.15,0,0,0.01,0.16
9061,World Championship Poker: Howard Lederer - All In,PSP,2006,0.13,0,0,0.01,0.14
9200,Master Jin Jin's IQ Challenge,DS,2006,0.13,0,0,0.01,0.14
9309,World Championship Poker 2: Featuring Howard Lederer,PSP,2005,0.12,0,0,0.01,0.14
9499,Smart Boy's Gameroom,DS,2007,0.12,0,0,0.01,0.13
9606,Twister Mania,X360,2011,0.1,0.01,0,0.01,0.13
10063,Grease,DS,2010,0.1,0,0,0.01,0.11
10181,Alvin and the Chipmunks: Chipwrecked,DS,2011,0.07,0.03,0,0.01,0.11
10428,My First Dollhouse,DS,2010,0.1,0,0,0.01,0.1
10589,Alvin and the Chipmunks: Chipwrecked,X360,2011,0.08,0.01,0,0.01,0.1
10602,Rolling Stone: Drum King,Wii,2009,0.09,0,0,0.01,0.1
10678,Alvin and the Chipmunks: Chipwrecked,Wii,2011,0.08,0.01,0,0.01,0.1
11558,Discovery Kids: Spider Quest,DS,2009,0.07,0,0,0.01,0.08
11601,Grease Dance,PS3,2011,0.05,0.02,0,0.01,0.08
11641,World Championship Poker: Deluxe Series,DS,2005,0.07,0,0,0.01,0.08
11683,World Party Games,Wii,2009,0.07,0,0,0.01,0.08
11765,Zumba Fitness Core,Wii,2012,0,0.07,0,0.01,0.07
11942,"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",DS,2005,0.07,0,0,0,0.07
11968,Zumba Fitness Core,X360,2012,0,0.06,0,0.01,0.07
12075,Classic Action: Devilish,DS,2005,0.06,0,0,0,0.07
12258,Motion Explosion!,X360,2011,0.05,0.01,0,0,0.06
12297,Smart Boy's Toys Club,DS,2008,0.06,0,0,0,0.06
13482,World Championship Spelling,DS,2010,0.04,0,0,0,0.04
15278,World Championship Poker featuring Howard Lederer: All In,Wii,2006,0.02,0,0,0,0.02
