Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
208,Guitar Hero III: Legends of Rock,PS2,2007,3.49,0.01,0.01,1.48,4.98
231,Guitar Hero III: Legends of Rock,Wii,2007,3.06,1.12,0,0.44,4.62
238,Guitar Hero III: Legends of Rock,X360,2007,3.19,0.92,0.01,0.42,4.53
344,Guitar Hero: World Tour,Wii,2008,2.33,0.97,0,0.35,3.65
381,Guitar Hero: On Tour,DS,2008,2.11,1.01,0.01,0.35,3.48
567,Guitar Hero: World Tour,X360,2008,1.78,0.64,0,0.25,2.67
712,Guitar Hero III: Legends of Rock,PS3,2007,1.4,0.54,0.02,0.3,2.26
737,Guitar Hero II,X360,2007,2.01,0.02,0,0.17,2.2
888,Guitar Hero: World Tour,PS3,2008,1.1,0.56,0,0.27,1.93
964,Guitar Hero: World Tour,PS2,2008,1,0.03,0,0.77,1.8
1151,Moshi Monsters: Moshling Zoo,DS,2011,0.4,0.99,0,0.22,1.6
1172,Guitar Hero: On Tour Decades,DS,2008,0.85,0.58,0,0.16,1.58
1176,Guitar Hero 5,Wii,2009,0.94,0.49,0,0.15,1.58
1417,A Collection of Activision Classic Games for the Atari 2600,PS,1998,0.76,0.52,0,0.09,1.37
1536,Guitar Hero: Aerosmith,Wii,2008,1.04,0.14,0,0.1,1.29
1620,Guitar Hero: Aerosmith,X360,2008,1,0.14,0,0.1,1.23
1768,Kaboom!,2600,1980,1.07,0.07,0,0.01,1.15
1800,Guitar Hero 5,X360,2009,0.65,0.37,0,0.11,1.14
1830,Guitar Hero 5,PS2,2009,0.28,0.3,0,0.54,1.12
1849,Guitar Hero 5,PS3,2009,0.53,0.4,0,0.17,1.1
1957,DJ Hero,X360,2009,0.56,0.4,0,0.11,1.06
2050,Guitar Hero: Warriors of Rock,Wii,2010,0.48,0.44,0,0.09,1.01
2093,Band Hero,Wii,2009,0.6,0.3,0,0.09,0.99
2100,Guitar Hero: Aerosmith,PS3,2008,0.73,0.15,0,0.11,0.99
2189,Guitar Hero: Metallica,Wii,2009,0.41,0.43,0,0.1,0.95
2257,Wipeout: In The Zone,X360,2011,0.87,0,0,0.05,0.92
2293,DJ Hero,PS3,2009,0.42,0.34,0,0.14,0.91
2407,Guitar Hero: Warriors of Rock,X360,2010,0.47,0.32,0,0.08,0.87
