Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1441,Namco Museum DS,DS,2007,1.18,0.01,0.06,0.09,1.35
1971,Defender,2600,1980,0.99,0.05,0,0.01,1.05
2779,Namco Museum Remix,Wii,2007,0.68,0,0,0.05,0.74
4103,Jeopardy!,PS2,2003,0.24,0.18,0,0.06,0.48
4833,Atari Anthology,PS2,2004,0.33,0.01,0,0.05,0.4
5670,Sega Smash Pack,GBA,2002,0.23,0.08,0,0.01,0.32
5722,Namco Museum: Virtual Arcade,X360,2008,0.27,0.01,0.01,0.02,0.31
6036,Duel Masters: Sempai Legends,GBA,2003,0.21,0.08,0,0.01,0.29
6679,Atari Anthology,XB,2004,0.19,0.05,0,0.01,0.25
6754,Nickelodeon Party Blast,GC,2002,0.19,0.05,0,0.01,0.25
6898,Checkers,2600,1980,0.22,0.01,0,0,0.24
7216,Duel Masters: Kaijudo Showdown,GBA,2004,0.16,0.06,0,0,0.22
7817,Trivial Pursuit unhinged,PS2,2004,0.09,0.07,0,0.02,0.19
8056,Atari Anniversary Advance,GBA,2002,0.13,0.05,0,0,0.18
9161,Atari's Greatest Hits: Volume 1,DS,2010,0.13,0,0,0.01,0.14
9357,Retro Atari Classics,DS,2005,0.12,0,0,0.01,0.13
9360,Freddi Fish: ABC under the sea,DS,2008,0.13,0,0,0.01,0.13
9852,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,0.11,0,0,0.01,0.12
10928,Trivial Pursuit unhinged,XB,2004,0.07,0.02,0,0,0.09
10954,Jenga World Tour,DS,2007,0.09,0,0,0.01,0.09
10967,Atari Classics Evolved,PSP,2007,0.08,0,0,0.01,0.09
12394,Atari's Greatest Hits: Volume 2,DS,2011,0.06,0,0,0,0.06
13053,Jenga World Tour,Wii,2007,0.05,0,0,0,0.05
15653,Space Channel 5: Ulala's Cosmic Attack,GBA,2002,0.01,0,0,0,0.02
16308,Duel Masters: Shadow of the Code,GBA,2004,0.01,0,0,0,0.01
16351,Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011,0.01,0,0,0,0.01
