Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3943,Capcom Classics Collection,PS2,2005,0.22,0.17,0.05,0.06,0.51
5498,Capcom Classics Collection Reloaded,PSP,2006,0.26,0,0.03,0.03,0.33
5918,Capcom Classics Collection Remixed,PSP,2006,0.27,0,0,0.03,0.3
8920,Capcom Classics Collection,XB,2005,0.11,0.03,0,0.01,0.15
9436,Wantame Music Channel: Doko Demo Style,DS,2007,0,0,0.13,0,0.13
9464,Steel Battalion: Heavy Armor,X360,2012,0.08,0.03,0.02,0.01,0.13
9641,Mega Man X Collection,GC,2006,0.1,0.03,0,0,0.13
10057,Mega Man Battle Chip Challenge,GBA,2003,0.08,0.03,0,0,0.11
12719,Wantame Fortune Channel,DS,2007,0,0,0.06,0,0.06
13435,Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011,0,0,0.05,0,0.05
13465,Phoenix Wright: Revived Turnabout,DS,2008,0,0,0.04,0,0.04
