Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3931,World Championship Poker,XB,2004,0.37,0.11,0,0.02,0.51
6617,Spelling Challenges and more!,PSP,2007,0.24,0,0,0.02,0.25
7261,Pinball Hall of Fame: The Williams Collection,PS3,2009,0.2,0,0,0.02,0.22
7508,World Championship Cards,PSP,2008,0.19,0,0,0.02,0.2
7536,The Bible Game,PS2,2005,0.1,0.08,0,0.03,0.2
7907,Sing4: The Hits Edition,Wii,2011,0.18,0,0,0.01,0.19
8239,World Championship Poker,GBA,2004,0.12,0.05,0,0,0.17
9864,The Bible Game,GBA,2005,0.09,0.03,0,0,0.12
9866,Pinball Hall of Fame: The Williams Collection,X360,2009,0.11,0,0,0.01,0.12
10734,Pinball Hall of Fame: The Williams Collection,3DS,2011,0.09,0,0,0.01,0.1
10912,World Championship Poker 2: Featuring Howard Lederer,XB,2005,0.07,0.02,0,0,0.09
11691,Crayola: Colorful Journey,Wii,2009,0.07,0,0,0.01,0.08
11712,Pinball Hall of Fame: The Gottlieb Collection,XB,2004,0.06,0.02,0,0,0.08
11865,Archer Maclean's 3D Pool,GBA,2003,0.05,0.02,0,0,0.07
12349,Intellivision Lives!,GC,2004,0.05,0.01,0,0,0.06
13003,Pinball Hall of Fame: The Gottlieb Collection,GC,2005,0.04,0.01,0,0,0.05
13382,Intellivision Lives!,XB,2004,0.03,0.01,0,0,0.05
13422,The Bible Game,XB,2005,0.03,0.01,0,0,0.05
