Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1947,Simple 1500 Series Vol. 1: The Mahjong,PS,1998,0,0,0.99,0.07,1.06
5474,Family Party: 90 Great Games Party Pack,Wii,2010,0.31,0,0,0.02,0.33
6354,Ben 10 Triple Pack,DS,2011,0.13,0.12,0,0.03,0.27
7158,Kidz Bop Dance Party! The Video Game,Wii,2010,0.21,0,0,0.01,0.22
7890,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PS2,2006,0,0,0.19,0,0.19
8624,Family Party: 30 Great Games Outdoor Fun,Wii,2009,0.14,0.01,0,0.01,0.16
8645,Victorious: Hollywood Arts Debut,DS,2011,0.14,0.01,0,0.01,0.16
9350,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005,0,0,0.13,0,0.13
9703,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",PS2,2008,0,0,0.12,0,0.12
9981,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007,0,0,0.12,0,0.12
10214,The Croods: Prehistoric Party!,Wii,2013,0.03,0.07,0,0.01,0.11
10430,Family Party: 30 Great Games,Wii,2008,0.09,0.01,0,0.01,0.1
11415,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 2: Shinseiki Evangelion - Shito, Futatabi",DS,2008,0,0,0.08,0,0.08
11538,The Croods: Prehistoric Party!,DS,2013,0.03,0.04,0,0.01,0.08
12174,Card Games,PS,2000,0.04,0.03,0,0,0.07
12306,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,0,0,0.06,0,0.06
12450,Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,PSP,2010,0,0,0.06,0,0.06
12747,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,2007,0,0,0.06,0,0.06
13965,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,DS,2010,0,0,0.04,0,0.04
13984,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,2008,0,0,0.04,0,0.04
14043,The Croods: Prehistoric Party!,3DS,2013,0.01,0.02,0,0,0.04
14608,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,0,0,0.03,0,0.03
14625,The Croods: Prehistoric Party!,WiiU,2013,0.01,0.01,0,0,0.03
14840,Bae Yong-joon to Manabu Kankokugo DS,DS,2009,0,0,0.03,0,0.03
14900,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,DS,2008,0,0,0.03,0,0.03
14987,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",DS,2008,0,0,0.02,0,0.02
15071,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,0,0,0.02,0,0.02
15151,Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin,PSP,2010,0,0,0.02,0,0.02
15701,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock,PS2,2007,0,0,0.02,0,0.02
15707,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,0.01,0,0,0,0.02
15859,Storm Lover 2nd,PSP,2013,0,0,0.02,0,0.02
16027,Simple DS Series Vol. 14: The Jidousha Kyoushuujo DS,DS,2007,0,0,0.01,0,0.01
