Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
880,Who wants to be a millionaire,PC,1999,1.94,0,0,0,1.94
903,Toy Story Mania!,Wii,2009,1.06,0.67,0,0.18,1.92
920,High School Musical: Sing It!,PS2,2007,0.47,0.08,0,1.33,1.87
982,High School Musical: Sing It!,Wii,2007,1.16,0.45,0,0.16,1.77
1177,High School Musical 3: Senior Year,DS,2008,0.64,0.76,0,0.17,1.58
1268,Disney Sing It: Pop Hits,Wii,2009,1.08,0.28,0,0.13,1.49
1512,High School Musical 3: Senior Year DANCE!,Wii,2008,0.68,0.49,0,0.13,1.31
1673,Disney Sing It,Wii,2008,0.77,0.31,0,0.12,1.2
1775,High School Musical 2: Work This Out!,DS,2008,0.5,0.52,0,0.13,1.15
2400,Wizards of Waverly Place,DS,2009,0.59,0.2,0,0.08,0.87
3126,Disney Sing It: Party Hits,Wii,2010,0.5,0.11,0,0.05,0.65
3293,Disney Sing It: Family Hits,Wii,2010,0.39,0.18,0,0.05,0.61
3326,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,0.37,0.16,0.01,0.06,0.61
3366,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,0.32,0.23,0,0.04,0.6
3854,Cars Toon: Mater's Tall Tales,Wii,2010,0.46,0.02,0,0.03,0.52
3967,Disney Sing It,PS2,2008,0.25,0.19,0,0.06,0.5
4304,Disney Guilty Party,Wii,2010,0.43,0,0,0.03,0.46
4386,Disney Sing It! High School Musical 3: Senior Year,PS2,2008,0.09,0.02,0,0.34,0.45
4554,Disney Sing It,X360,2008,0.39,0.01,0,0.03,0.43
4783,Disney Sing It! High School Musical 3: Senior Year,PS3,2008,0.08,0.26,0,0.07,0.4
4996,Disney Sing It,PS3,2008,0.27,0.07,0,0.04,0.38
5357,High School Musical 3: Senior Year DANCE!,PS2,2008,0.17,0.13,0,0.04,0.34
5426,Disney Sing It: Pop Hits,PS2,2009,0.1,0.02,0,0.22,0.34
6013,Disney Channel: All Star Party,Wii,2010,0.18,0.08,0,0.02,0.29
6516,Disney Sing It: Pop Hits,PS3,2009,0.17,0.05,0,0.03,0.26
6637,Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,0.12,0.1,0,0.03,0.25
6715,Ultimate Band,Wii,2008,0.2,0.03,0,0.02,0.25
6797,Disney Stitch Jam,DS,2009,0.08,0,0.16,0,0.24
6961,Wizards of Waverly Place: Spellbound,DS,2010,0.16,0.06,0,0.02,0.23
7028,Ultimate Band,DS,2008,0.19,0.02,0,0.02,0.23
7658,The Cheetah Girls: Passport to Stardom,DS,2008,0.18,0,0,0.01,0.2
7681,High School Musical 3: Senior Year DANCE!,X360,2008,0.18,0,0,0.01,0.2
8205,Camp Rock: The Final Jam,DS,2010,0.14,0.02,0,0.01,0.18
8210,Disney Sing It: Family Hits,PS3,2010,0.11,0.04,0,0.02,0.17
8349,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,0.08,0.06,0,0.02,0.17
8517,Hannah Montana: Rock Out the Show,PSP,2009,0.13,0.01,0,0.02,0.16
8849,Fantasia: Music Evolved,XOne,2014,0.11,0.03,0,0.01,0.15
9677,Disney Sing It: Party Hits,PS3,2010,0.1,0.01,0,0.01,0.12
10330,The Cheetah Girls: Pop Star Sensations,DS,2007,0.1,0,0,0.01,0.11
10752,Disney Sing It! High School Musical 3: Senior Year,X360,2009,0.09,0,0,0.01,0.1
11578,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010,0,0,0.08,0,0.08
11887,Fantasia: Music Evolved,X360,2014,0.05,0.01,0,0.01,0.07
15523,The Cheetah Girls,GBA,2006,0.01,0,0,0,0.02
15833,Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,DS,2011,0,0,0.02,0,0.02
