Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
474,The Sims: Livin Large,PC,2000,1.67,1.18,0,0.13,2.99
625,Rock Band,X360,N/A,1.93,0.34,0,0.21,2.48
735,Rock Band 2,X360,2008,1.78,0.24,0,0.18,2.2
898,Monopoly,Wii,2008,0.87,0.85,0,0.2,1.92
1135,Rock Band,PS3,N/A,0.99,0.41,0,0.22,1.62
1324,Smarty Pants,Wii,2007,0.53,0.76,0,0.16,1.45
1409,Hasbro Family Game Night 2,Wii,2009,0.71,0.53,0,0.13,1.38
1839,Rock Band,PS2,N/A,0.71,0.06,0,0.35,1.11
2524,Hasbro Family Game Night 3,Wii,2010,0.47,0.28,0,0.07,0.82
2726,Monopoly Streets,Wii,2010,0.24,0.44,0,0.08,0.76
3377,Monopoly,X360,2008,0.34,0.2,0,0.06,0.6
3453,Trivial Pursuit,Wii,2009,0.21,0.31,0,0.07,0.58
3574,Harry Potter Collection,PS2,2006,0.28,0.21,0,0.07,0.56
3974,Boogie,Wii,2007,0.43,0.03,0,0.04,0.5
4548,Monopoly,PS2,2008,0.21,0.16,0,0.05,0.43
4744,Monopoly Streets,PS3,2010,0.16,0.18,0,0.07,0.41
5095,Trivial Pursuit,X360,2009,0.12,0.21,0,0.04,0.37
5255,Monopoly,PS3,2008,0.25,0.06,0,0.04,0.36
5642,Extreme Pinball,PS,1995,0.18,0.12,0,0.02,0.32
6066,Trivial Pursuit,PS3,2009,0.12,0.12,0,0.05,0.29
6123,Monopoly Streets,X360,2010,0.16,0.1,0,0.03,0.28
6185,Monopoly,DS,2010,0.16,0.1,0,0.03,0.28
6269,Boogie,DS,2007,0.25,0,0,0.02,0.27
6287,Trivial Pursuit,PS2,2009,0.09,0.01,0,0.17,0.27
6750,Hasbro Family Game Night 3,PS3,2010,0.18,0.04,0,0.03,0.25
6831,Boogie SuperStar,Wii,2008,0.2,0.02,0,0.02,0.24
7377,Hasbro Family Game Night 3,X360,2010,0.17,0.03,0,0.01,0.21
7872,Family Game Night 4: The Game Show,Wii,2011,0.13,0.04,0,0.01,0.19
7897,Boogie,PS2,2007,0.09,0.07,0,0.02,0.19
8650,Trivial Pursuit: Bet You Know It,Wii,2011,0.1,0.04,0,0.01,0.16
8903,Charm Girls Club: Pajama Party,Wii,2009,0.14,0,0,0.01,0.15
8978,Travel Games For Dummies,DS,2008,0.13,0,0,0.01,0.15
9231,MySims Collection,Wii,2010,0.13,0,0,0.01,0.14
9816,Zubo,DS,2008,0.09,0.03,0,0.01,0.12
9993,Hasbro Family Game Night Fun Pack,Wii,2011,0.11,0,0,0.01,0.12
10026,Family Game Night 4: The Game Show,PS3,2011,0.08,0.02,0,0.01,0.11
10032,Brain Quest: Grades 5 & 6,DS,2008,0.11,0,0,0.01,0.11
10853,Monopoly Collection,Wii,2011,0.02,0.07,0,0.01,0.09
11050,Golden Nugget 64,N64,1998,0.07,0.02,0,0,0.09
11076,Scrabble,PSP,2009,0.08,0,0,0.01,0.09
11652,Family Game Night 4: The Game Show,X360,2011,0.07,0,0,0.01,0.08
12187,Brain Quest: Grades 3 & 4,DS,2008,0.06,0,0,0.01,0.07
12239,Hasbro Family Game Night Fun Pack,X360,2011,0.06,0,0,0,0.07
13050,Disney's Party,GC,2002,0.04,0.01,0,0,0.05
15986,Dragon Zakura DS,DS,2007,0,0,0.01,0,0.01
16387,Poker for Dummies,PC,2008,0,0.01,0,0,0.01
