Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4073,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,0,0,0.49,0,0.49
4207,Super Momotarou Dentetsu DX,SNES,1995,0,0,0.47,0,0.47
4282,Momotarou Dentetsu 11,PS2,2002,0,0,0.46,0,0.46
4720,Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,0,0,0.41,0,0.41
5281,Momotarou Dentetsu 12,PS2,2003,0,0,0.35,0,0.35
5407,Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,0,0,0.34,0,0.34
5596,Momotarou Dentetsu 20-Shuunen,DS,2008,0,0,0.32,0,0.32
5683,Momotarou Dentetsu Happy,SNES,1996,0,0,0.32,0,0.32
6551,Karaoke Joysound Wii,Wii,2008,0.01,0,0.25,0,0.26
7162,Momotarou Dentetsu 15,PS2,2005,0,0,0.22,0,0.22
7351,Momotarou Dentetsu 16,PS2,2006,0,0,0.21,0,0.21
7933,Momotarou Dentetsu World,DS,2010,0,0,0.19,0,0.19
8498,Bomberman Land,PS,2000,0,0,0.15,0.01,0.16
9512,Momotaro Douchuuki,SAT,1997,0,0,0.13,0,0.13
10485,Momotarou Dentetsu 16,Wii,2007,0,0,0.1,0,0.1
11033,Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,0,0,0.09,0,0.09
11102,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010,0,0,0.09,0,0.09
11191,Karaoke Joysound Wii DX,Wii,2009,0,0,0.09,0,0.09
11644,Momotarou Dentetsu 11,GC,2002,0,0,0.07,0,0.08
11764,Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010,0,0,0.07,0,0.07
14504,Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,0,0,0.03,0,0.03
