Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,1.16,0.91,0,0.3,2.38
2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,0.68,0.25,0,0.02,0.95
2452,Karaoke Revolution Glee,Wii,2010,0.52,0.25,0,0.07,0.85
2492,Yu-Gi-Oh! Dark Duel Stories,GB,2000,0,0,0.83,0,0.83
2774,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,2001,0.42,0.16,0.15,0.01,0.74
3170,Konami Collector's Series: Arcade Advanced,GBA,2002,0.46,0.17,0,0.01,0.64
3576,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,0.4,0.15,0,0.01,0.56
4336,Karaoke Revolution Presents American Idol Encore,Wii,2008,0.42,0,0,0.03,0.45
4358,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,0.32,0.12,0,0.01,0.45
4408,Karaoke Revolution,Wii,2009,0.24,0.16,0,0.04,0.45
4411,Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004,0.22,0.17,0,0.06,0.44
4604,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,2005,0.3,0.11,0,0.01,0.42
4758,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,0,0,0.4,0.01,0.41
4968,Karaoke Revolution Presents American Idol Encore,PS2,2008,0.19,0.15,0,0.05,0.39
5300,Def Jam Rapstar,Wii,2010,0.31,0.02,0,0.02,0.35
5330,Karaoke Revolution,PS2,2003,0.17,0.13,0,0.04,0.35
5565,Karaoke Revolution Presents American Idol Encore 2,Wii,2008,0.3,0,0,0.02,0.33
5576,Def Jam Rapstar,PS3,2010,0.25,0.05,0,0.03,0.33
5644,Karaoke Revolution Volume 3,PS2,2004,0.16,0.12,0,0.04,0.32
5692,Quiz Magic Academy DS,DS,2008,0,0,0.32,0,0.32
5710,Fishing Master,Wii,2007,0.29,0,0,0.02,0.31
5834,Karaoke Revolution Glee: Volume 3,Wii,2011,0.24,0.04,0,0.02,0.3
5845,Karaoke Revolution Party,PS2,2005,0.15,0.12,0,0.04,0.3
6005,Def Jam Rapstar,X360,2010,0.25,0.03,0,0.02,0.29
6362,Rock Revolution,X360,2008,0.25,0,0,0.02,0.27
6433,Scene It? Twilight,Wii,2009,0.16,0.08,0,0.02,0.27
6511,Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,GBA,2006,0.14,0.05,0.07,0.01,0.26
6928,DanceDanceRevolution II,Wii,N/A,0.22,0,0,0.02,0.24
6960,Karaoke Revolution Volume 2,PS2,2004,0.11,0.09,0,0.03,0.23
7035,Yu-Gi-Oh! GX: Duel Academy,GBA,2005,0.17,0.06,0,0,0.23
7045,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,0.15,0.06,0,0.02,0.23
7141,Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,0.18,0.03,0,0.02,0.22
7779,Scene It? Twilight,DS,2010,0.11,0.07,0,0.02,0.19
7801,DanceMasters,X360,2010,0.15,0.02,0.02,0.01,0.19
8216,Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013,0,0.08,0.08,0.01,0.17
8338,Mahjong Fight Club,PSP,2004,0,0,0.17,0,0.17
