Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3301,Texas Hold 'Em Poker,GBA,2004,0.44,0.16,0,0.01,0.61
5927,Alvin and the Chipmunks: The Squeakquel,DS,2009,0.28,0,0,0.02,0.3
6279,Zumba Fitness: World Party,Wii,2013,0.14,0.11,0,0.03,0.27
6677,Golden Nugget Casino,GBA,2004,0.18,0.07,0,0,0.25
6977,Zumba Fitness: World Party,XOne,2013,0.17,0.05,0,0.02,0.23
9628,Left Brain Right Brain 2,DS,2008,0.12,0,0,0.01,0.13
10505,Alvin and the Chipmunks: The Squeakquel,Wii,2009,0.09,0,0,0.01,0.1
10537,Math Blaster in the Prime Adventure,DS,2009,0.09,0,0,0.01,0.1
10960,Wonder World Amusement Park,DS,2009,0.08,0,0,0.01,0.09
11122,Data East Arcade Classics,Wii,2010,0.08,0,0,0.01,0.09
11577,Drama Queens,DS,2009,0.07,0,0,0.01,0.08
11985,Caesars Palace Advance: Millennium Gold Edition,GBA,2001,0.05,0.02,0,0,0.07
12616,Dance Sensation!,Wii,2010,0.06,0,0,0,0.06
12897,Major Minor's Majestic March,Wii,2009,0.05,0,0,0,0.05
13202,Cartoon Network Block Party,GBA,2004,0.03,0.01,0,0,0.05
13346,Wonder World Amusement Park,Wii,2008,0.04,0,0,0,0.05
13878,Holly Hobbie & Friends,DS,2007,0.04,0,0,0,0.04
13945,Texas Hold 'Em Poker DS,DS,2005,0.03,0,0,0,0.04
14052,Ultimate Game Room,DS,2009,0.03,0,0,0,0.04
14490,Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,0.02,0.01,0,0,0.03
15688,Golden Nugget Casino DS,DS,2005,0.02,0,0,0,0.02
