Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16,Kinect Adventures!,X360,2010,14.97,4.94,0.24,1.67,21.82
73,Minecraft,X360,2013,5.58,2.83,0.02,0.77,9.2
644,Minecraft,XOne,2014,1.43,0.76,0,0.22,2.41
660,Kinect: Disneyland Adventures,X360,2011,1.73,0.46,0.02,0.18,2.38
832,Dance Central 2,X360,2011,1.45,0.42,0.01,0.16,2.04
1654,Fuzion Frenzy,XB,2001,0.93,0.24,0,0.04,1.21
2491,Dance Central 3,X360,2012,0.57,0.2,0,0.06,0.83
2632,Lips,X360,2008,0.12,0.56,0,0.1,0.78
2731,Rare Replay,XOne,2015,0.47,0.21,0.01,0.07,0.75
3094,Scene It? Box Office Smash,X360,2008,0.33,0.25,0,0.07,0.66
3600,Lips: Number One Hits,X360,2009,0.15,0.35,0,0.07,0.56
4084,Scene It? Lights Camera Action,X360,2007,0.43,0.02,0,0.04,0.48
4100,You're in the Movies,X360,2008,0.27,0.17,0,0.05,0.48
4515,Minecraft,WiiU,2016,0.18,0.09,0.14,0.03,0.43
5224,Kinectimals: Now with Bears!,X360,2011,0.27,0.06,0,0.03,0.36
5317,Xbox Music Mixer,XB,2003,0.26,0.08,0,0.01,0.35
6644,Exhibition,XB,2001,0.19,0.05,0,0.01,0.25
6909,Viva Pinata: Party Animals,X360,2007,0.19,0.03,0,0.02,0.24
7977,Dance Central: Spotlight,XOne,2014,0.15,0.03,0,0,0.19
7989,Star Wars: The Clone Wars & Tetris Worlds,XB,2002,0.14,0.04,0,0.01,0.19
8033,Lips: Party Classics,X360,2010,0.05,0.11,0,0.02,0.18
8235,Project Spark,XOne,2014,0.11,0.05,0,0.02,0.17
8273,Exhibition Volume 02,XB,2003,0.13,0.04,0,0.01,0.17
8365,Fuzion Frenzy 2,X360,2007,0.14,0.01,0,0.01,0.17
9185,Lips: I Love The 80s,X360,2010,0,0.12,0,0.02,0.14
10685,Exhibition Volume 03,XB,2003,0.07,0.02,0,0,0.1
10834,Whacked!,XB,2002,0.07,0.02,0,0,0.09
11874,Exhibition Volume 4,XB,2003,0.05,0.02,0,0,0.07
12056,Xbox Live Arcade Unplugged Volume 1,X360,2006,0.05,0.01,0,0.01,0.07
12402,Tecmo Classic Arcade,XB,2005,0.05,0.01,0,0,0.06
12571,Exhibition Volume 5,XB,2004,0.04,0.01,0,0,0.06
13086,Lips: Deutsche Partyknaller,X360,2009,0,0.04,0,0.01,0.05
14622,Triple Pack: Xbox Live Arcade Compilation,X360,2011,0.03,0,0,0,0.03
15829,Exhibition Volume 6,XB,2004,0.01,0,0,0,0.02
