Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
265,Namco Museum,GBA,2001,3,1.11,0.05,0.07,4.24
303,Namco Museum: 50th Anniversary,PS2,2005,2.08,1.35,0,0.54,3.98
955,Namco Museum,PS2,2001,1.73,0.07,0,0.02,1.82
1111,Go Vacation,Wii,2011,0.48,0.68,0.33,0.16,1.65
1329,Namco Museum 64,N64,1999,1.24,0.17,0.03,0.01,1.45
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002,0,0,0.76,0,0.76
3027,Taiko no Tatsujin Wii,Wii,2008,0,0,0.67,0,0.67
3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,0,0,0.66,0,0.66
3132,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,DS,2008,0,0,0.65,0,0.65
3203,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,0,0,0.63,0,0.63
3237,Namco Museum,GC,2002,0.48,0.13,0,0.02,0.63
3274,Pac-Man Player's Choice Bundle,GC,2003,0.48,0.12,0,0.02,0.62
3312,Pac-Man Party,Wii,2010,0.47,0.09,0.01,0.04,0.61
4059,Taiko no Tatsujin: Appare Sandaime,PS2,2003,0,0,0.49,0,0.49
4425,Food Network: Cook or Be Cooked,Wii,2009,0.41,0,0,0.03,0.44
4472,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,0,0,0.44,0,0.44
4639,Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,0,0,0.42,0,0.42
4754,AKB1/48: Idol to Koishitara...,PSP,2010,0,0,0.41,0,0.41
4801,Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009,0,0,0.4,0,0.4
4827,AKB1/48: Idol to Guam de Koishitara...,PSP,2011,0,0,0.4,0,0.4
4927,Taiko no Tatsujin Wii: Ketteiban,Wii,2011,0,0,0.39,0,0.39
5053,Taiko no Tatsujin Portable DX,PSP,2011,0,0,0.38,0,0.38
5928,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,0,0,0.3,0,0.3
6072,Dragon Ball Heroes: Ultimate Mission,3DS,2013,0,0,0.29,0,0.29
7148,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,0,0,0.22,0,0.22
7257,Tamagotchi no KiraKira Omisecchi,DS,2008,0,0,0.22,0,0.22
