Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
8,Wii Play,Wii,2006,14.03,9.2,2.93,2.85,29.02
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,4.75,9.26,4.16,2.05,20.22
75,Mario Party DS,DS,2007,4.46,1.88,1.98,0.7,9.02
79,Wii Party,Wii,2010,1.79,3.53,2.49,0.68,8.49
81,Mario Party 8,Wii,2007,3.81,2.3,1.58,0.73,8.42
123,Big Brain Academy,DS,2005,1.67,2.78,1.6,0.62,6.67
172,Pokemon Pinball,GB,1999,3.02,1.12,1.01,0.16,5.31
247,Nintendo Land,WiiU,2012,2.55,1.11,0.46,0.33,4.44
317,Flash Focus: Vision Training in Minutes a Day,DS,2007,0.87,1.57,1.05,0.35,3.84
321,Big Brain Academy: Wii Degree,Wii,2007,1.06,1.93,0.41,0.43,3.82
339,Friend Collection,DS,2009,0,0,3.67,0,3.67
377,Clubhouse Games,DS,2006,0.59,1.83,0.73,0.35,3.5
403,English Training: Have Fun Improving Your Skills!,DS,2006,0,0.99,2.32,0.02,3.33
406,Mario Party 9,Wii,2012,1.15,1.17,0.76,0.24,3.32
413,Wii Music,Wii,2008,1.36,1.13,0.46,0.32,3.27
433,Rhythm Heaven,DS,2008,0.58,0.51,1.93,0.14,3.17
445,Personal Trainer: Cooking,DS,2006,0.91,1,1.03,0.17,3.12
546,Mario Paint,SNES,1992,1.43,0.54,0.71,0.07,2.75
555,Mario Party,N64,1998,1.25,0.53,0.87,0.05,2.7
599,Art Academy,DS,2010,0.28,1.68,0.33,0.28,2.57
616,Mario Party 2,N64,1999,1.28,0.14,1.08,0.01,2.5
627,Mario Party 4,GC,2002,1.13,0.36,0.92,0.07,2.47
745,Kirby's Pinball Land,GB,1992,0.87,0.17,1.1,0.05,2.19
765,Mahjong,NES,1983,0.01,0,2.13,0,2.14
805,Mario Party 5,GC,2003,0.97,0.33,0.73,0.06,2.08
904,Mario Party 3,N64,2000,0.72,0.16,1.01,0.02,1.91
936,Mario Party: Island Tour,3DS,2013,0.61,0.59,0.55,0.11,1.85
983,Wii Party U,WiiU,2013,0.31,0.54,0.84,0.08,1.77
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,0,0,1.71,0,1.71
1109,Mario Party 6,GC,2004,0.9,0.11,0.6,0.05,1.65
1185,Mario Party 7,GC,2005,0.95,0.11,0.46,0.04,1.57
1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,0.68,0.38,0.44,0.05,1.56
1209,Mario Party 10,WiiU,2015,0.69,0.5,0.24,0.11,1.55
1326,4 Nin uchi Mahjong,NES,1984,0,0,1.45,0,1.45
1544,Yakuman,GB,1989,0,0,1.28,0,1.28
1638,Game & Watch Gallery 2,GB,1997,0.76,0.3,0.12,0.04,1.22
1639,Game & Watch Gallery 3,GB,1999,0.79,0.31,0.08,0.04,1.22
1777,Donkey Konga,GC,2003,0.5,0.16,0.46,0.03,1.15
2064,Game & Watch Gallery,GB,1997,0.63,0.25,0.09,0.03,1
2111,Mario Party Advance,GBA,2005,0.5,0.19,0.28,0.02,0.98
2195,Wii Play: Motion,Wii,2011,0.24,0.43,0.18,0.09,0.95
2806,Practise English!,DS,2007,0,0,0.73,0,0.73
2814,Just Dance Wii,Wii,2011,0,0,0.73,0,0.73
2884,Rhythm Heaven: The Best+,3DS,2015,0,0,0.71,0,0.71
2956,Mario Pinball Land,GBA,2004,0.5,0.18,0,0.01,0.69
2967,Nintendo Presents: New Style Boutique 2 - Fashion Forward,3DS,2015,0.01,0.61,0.02,0.04,0.69
3008,100 Classic Books,DS,2008,0.13,0.52,0,0.02,0.67
3304,Ganbaru Watashi no Kakei Diary,DS,2007,0,0,0.61,0,0.61
3330,Game & Watch Gallery 4,GBA,2002,0.43,0.16,0,0.01,0.61
