Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2640,We Sing,Wii,2009,0,0.69,0,0.09,0.78
4217,We Sing Encore,Wii,2010,0,0.41,0,0.06,0.47
4974,Dance Party: Pop Hits,Wii,2009,0,0.36,0,0.02,0.39
5246,We Sing Deutsche Hits,Wii,2011,0,0.31,0,0.05,0.36
5916,We Sing Pop!,Wii,2012,0.08,0.19,0,0.03,0.3
6342,Reader Rabbit Kindergarten,DS,2008,0.25,0,0,0.02,0.27
7335,We Sing Robbie Williams,Wii,2010,0,0.19,0,0.03,0.21
7937,We Dance,Wii,2011,0,0.17,0,0.02,0.19
8068,We Sing UK Hits,Wii,2011,0,0.16,0,0.02,0.18
11607,We Sing Rock!,Wii,2011,0,0.07,0,0.01,0.08
16177,We Sing 80s,Wii,2012,0,0.01,0,0,0.01
