Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
496,Sonic Mega Collection Plus,PS2,2004,1.54,1.14,0,0.22,2.9
708,Sonic's Ultimate Genesis Collection,PS3,2009,1.34,0.62,0,0.31,2.27
709,Super Monkey Ball: Banana Blitz,Wii,2006,1.07,0.92,0.04,0.24,2.27
1350,Sonic's Ultimate Genesis Collection,X360,2009,0.85,0.46,0,0.13,1.43
2051,Oshare Majo Love and Berry: DS Collection,DS,2006,0,0,1.01,0,1.01
2292,Sonic Mega Collection Plus,XB,2004,0.61,0.26,0,0.04,0.91
2316,Samba De Amigo,Wii,2008,0.42,0.37,0.01,0.1,0.9
2702,Super Monkey Ball: Touch & Roll,DS,2005,0.7,0.01,0,0.06,0.76
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,0.4,0.11,0,0.02,0.53
4565,SEGA Classics Collection,PS2,2005,0.21,0.16,0,0.05,0.43
4765,Hatsune Miku: Project Diva 2nd,PSP,2010,0,0,0.41,0,0.41
4788,Hatsune Miku: Project Diva F 2nd,PSV,2014,0.13,0.06,0.16,0.06,0.4
5512,Hatsune Miku: Project Diva Extend,PSP,2011,0,0,0.33,0,0.33
5727,Hatsune Miku: Project Mirai DX,3DS,2015,0.15,0.04,0.1,0.02,0.31
5833,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,0,0,0.3,0,0.3
6295,Hatsune Miku: Project Diva f,PS3,2013,0.08,0,0.19,0.01,0.27
6311,Rhythm Thief & the Emperor's Treasure,3DS,2012,0.07,0.07,0.12,0.01,0.27
6520,Hatsune Miku: Project Diva,PSP,2009,0,0,0.26,0,0.26
6632,Hatsune Miku: Project Diva F 2nd,PS3,2014,0.09,0.04,0.1,0.03,0.25
6642,K-ON! Houkago Live!!,PSP,2010,0,0,0.25,0,0.25
6793,Dreamcast Collection,X360,2011,0.16,0.07,0,0.02,0.24
6835,Super Monkey Ball Deluxe,PS2,2005,0.12,0.09,0,0.03,0.24
6848,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PS2,2006,0,0,0.24,0,0.24
6997,Hatsune Miku: Project Diva f,PSV,2012,0,0,0.23,0,0.23
8060,Hatsune Miku and Future Stars: Project Mirai,3DS,2012,0,0,0.18,0,0.18
8061,Let's TAP,Wii,2008,0.09,0.06,0.01,0.02,0.18
8436,Sega Superstars,PS2,2004,0.08,0.06,0,0.02,0.17
8959,Super Monkey Ball Deluxe,XB,2005,0.11,0.03,0,0.01,0.15
8983,Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,0.1,0.04,0,0,0.15
9377,Brain Assist,DS,2007,0.12,0,0,0.01,0.13
9547,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,2005,0,0,0.13,0,0.13
9767,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,1995,0,0,0.12,0,0.12
9900,Hatsune Miku: Project Diva X,PSV,2016,0.01,0,0.1,0,0.12
10144,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995,0,0,0.11,0,0.11
10249,Sakura Taisen Hanagumi Tsuushin,SAT,1997,0,0,0.11,0,0.11
10899,Virtua Fighter CG Portrait Series Vol.3: Akira Yuki,SAT,1995,0,0,0.09,0,0.09
11016,Sega Casino,DS,2005,0.08,0,0,0.01,0.09
11041,Kawashima Ryuuta Kyouju Kanshuu Nouryoku Trainer Portable 2,PSP,2006,0,0,0.09,0,0.09
11271,Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,1995,0,0,0.08,0,0.08
11756,Sony Computer Science Kenkyuujo Mogi Kenichirou Hakase Kanshuu: Nou ni Kaikan Aha Taiken!,PSP,2006,0,0,0.07,0,0.07
12342,The Pinball of the Dead,GBA,2002,0.05,0.02,0,0,0.06
12403,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,0.04,0.02,0,0,0.06
12708,Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,2006,0,0,0.06,0,0.06
12855,Miracle Girls Festival,PSV,2015,0,0,0.05,0,0.05
12894,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,0,0,0.05,0,0.05
12973,Game no Kanzume Vol 2,SCD,1994,0,0,0.05,0,0.05
13091,Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,1995,0,0,0.05,0,0.05
13454,Game no Kanzume Vol 1,SCD,1994,0,0,0.04,0,0.05
13471,Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995,0,0,0.04,0,0.04
13630,Jissen Pachislot Hisshouhou! Hokuto no Ken DS,DS,2005,0,0,0.04,0,0.04
13684,Sonic PC Collection,PC,2009,0,0.04,0,0.01,0.04
13887,Hatsune Miku: Project Diva X,PS4,2016,0.01,0,0.02,0,0.04
14014,Onsei Kanjou Sokuteiki: Kokoro Scan,DS,2007,0,0,0.04,0,0.04
14419,Puzzle & Action: Tant-R,GEN,1994,0,0,0.03,0,0.03
14779,3DS Classic Collection,3DS,2016,0.02,0,0,0,0.03
14893,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,PS2,2007,0,0,0.03,0,0.03
15143,Uta Kumi 575,PSV,2014,0,0,0.02,0,0.02
15168,Jissen Pachinko Hisshouhou! CR Sakura Taisen,PS2,2007,0,0,0.02,0,0.02
15204,Jissen Pachi-Slot Hisshouhou! Mister Magic Neo,PS2,2007,0,0,0.02,0,0.02
15394,Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,2006,0,0,0.02,0,0.02
15830,Oshiri Kajiri Mushi no Rhythm Lesson DS: Kawai Ongaku Kyoushitsu Kanshuu,DS,2008,0,0,0.02,0,0.02
16256,Doraemon Wii: Himitsu Douguou Ketteisen!,Wii,2007,0,0,0.01,0,0.01
