Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
628,uDraw Studio,Wii,2010,1.67,0.58,0,0.2,2.46
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,1.31,0.49,0,0.03,1.83
1015,2 Games in 1: Disney Princess & The Lion King,GBA,2004,1.25,0.46,0,0.03,1.75
2078,Wheel of Fortune,Wii,2010,0.89,0.04,0,0.06,1
2155,Monster High: Ghoul Spirit,DS,2011,0.72,0.17,0,0.07,0.96
3110,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,2005,0.47,0.17,0,0.01,0.65
3294,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,0.44,0.16,0,0.01,0.61
3390,Jeopardy!,Wii,2010,0.56,0,0,0.03,0.59
3597,Monster High: Ghoul Spirit,Wii,2011,0.44,0.08,0,0.04,0.56
3684,Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,0.51,0,0,0.04,0.55
3736,Bratz: Rock Angelz,GBA,2004,0.39,0.14,0,0.01,0.54
3906,"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005,0.37,0.14,0,0.01,0.51
3908,Rugrats: Scavenger Hunt,N64,1999,0.41,0.09,0,0.01,0.51
3964,Blue's Clues: Blue's Big Musical,PS,2001,0.28,0.19,0,0.03,0.5
4280,"Barbie: Jet, Set & Style!",DS,2011,0.37,0.05,0,0.03,0.46
4418,"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005,0.37,0.01,0,0.06,0.44
4458,"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,0.34,0.09,0,0.01,0.44
4508,Wheel of Fortune,DS,2010,0.41,0,0,0.03,0.43
4724,SpongeBob SquigglePants,Wii,2011,0.36,0.03,0,0.03,0.41
4743,Disney Princess: Enchanting Storybooks,Wii,2011,0.26,0.11,0,0.04,0.41
4914,Are You Smarter than a 5th Grader? Make the Grade,DS,2008,0.36,0,0,0.03,0.39
5021,Bratz: Rock Angelz,PS2,2005,0.19,0.15,0,0.05,0.38
5278,SpongeBob's Boating Bash,Wii,2010,0.25,0.07,0,0.03,0.35
5540,Power Rangers: Ninja Storm,GBA,2003,0.24,0.09,0,0.01,0.33
6448,"Barbie: Jet, Set & Style!",Wii,2011,0.23,0.01,0,0.02,0.26
6576,"SpongeBob SquarePants: Lights, Camera, Pants!",XB,2005,0.19,0.06,0,0.01,0.26
6799,Britney's Dance Beat,PS2,2002,0.12,0.09,0,0.03,0.24
6891,Pictionary: Ultimate Edition,PS3,2011,0.15,0.06,0,0.03,0.24
6929,Pictionary: Ultimate Edition,X360,2011,0.16,0.05,0,0.02,0.24
6967,Big Family Games,Wii,2009,0,0.22,0,0.02,0.23
7259,You Don't Know Jack,Wii,2011,0.2,0,0,0.01,0.22
7286,Pass the Pigs,DS,2008,0.2,0,0,0.02,0.22
7299,Britney's Dance Beat,GBA,2002,0.15,0.06,0,0,0.22
7474,The Naked Brothers Band: The Video Game,Wii,2008,0.19,0,0,0.01,0.21
7509,You Don't Know Jack,X360,2011,0.19,0,0,0.01,0.2
7553,Bratz: Rock Angelz,GC,2005,0.16,0.04,0,0.01,0.2
7569,Neighborhood Games,Wii,2009,0.17,0.02,0,0.01,0.2
7729,The Naked Brothers Band: The Video Game,DS,2008,0.18,0,0,0.01,0.2
7777,Rio,Wii,2011,0.14,0.04,0,0.01,0.19
7837,uDraw Studio: Instant Artist,Wii,2011,0.08,0.09,0,0.02,0.19
7851,SpongeBob SquigglePants 3D,3DS,2011,0.13,0.05,0,0.02,0.19
7884,Jeopardy!,DS,2010,0.18,0,0,0.01,0.19
8164,All Grown Up! Express Yourself,GBA,2004,0.13,0.05,0,0,0.18
8201,You Don't Know Jack,PS3,2011,0.16,0,0,0.01,0.18
8291,Hello Kitty: Happy Party Pals,GBA,2005,0.12,0.05,0,0,0.17
8397,The Naked Brothers Band: The Video Game,PS2,2008,0.08,0.06,0,0.02,0.17
8483,Rio,DS,2011,0.12,0.03,0,0.01,0.16
8656,Rio,PS3,2011,0.04,0.09,0,0.03,0.16
8677,SpongeBob's Boating Bash,DS,2010,0.14,0.01,0,0.01,0.16
8987,Drawn to Life Collection,DS,2010,0.14,0,0,0.01,0.15
9318,Deepak Chopra's Leela,Wii,2011,0.11,0.01,0,0.01,0.14
9467,Disney Princess: Enchanting Storybooks,DS,2011,0.08,0.04,0,0.01,0.13
9605,Deepak Chopra's Leela,X360,2011,0.07,0.05,0,0.01,0.13
10073,Ping Pals,DS,2004,0.1,0,0,0.01,0.11
10118,Just In Time Translations,DS,2009,0.1,0,0,0.01,0.11
10143,Truth or Lies,X360,2010,0.07,0.03,0,0.01,0.11
10529,Truth or Lies,Wii,2010,0.04,0.05,0,0.01,0.1
10715,Rio,X360,2011,0.05,0.03,0,0.01,0.1
10940,Truth or Lies,PS3,2010,0.06,0.02,0,0.01,0.09
11027,Are You Smarter Than a 5th Grader? Back to School,DS,2010,0.08,0,0,0.01,0.09
11743,Beat City,DS,2010,0.07,0,0,0.01,0.07
11827,You Don't Know Jack,DS,2011,0.07,0,0,0.01,0.07
13368,Gitaroo Man,PS2,2001,0.02,0.02,0,0.01,0.05
14069,Sega Arcade Gallery,GBA,2003,0.03,0.01,0,0,0.04
14513,Casino Chaos With Las Vegas Players Collection,PC,2011,0.03,0,0,0,0.03
15526,uDraw Studio: Instant Artist,X360,2011,0.01,0.01,0,0,0.02
