Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
287,Carnival Games,Wii,2007,2.13,1.5,0.05,0.42,4.1
824,Carnival Games,DS,2008,1.23,0.64,0,0.19,2.05
3297,New Carnival Games,Wii,2010,0.35,0.21,0,0.05,0.61
4497,Dora the Explorer: Dora Puppy,DS,2009,0.39,0.01,0,0.03,0.43
5549,"Carnival Games: Monkey See, Monkey Do!",X360,2011,0.14,0.16,0,0.03,0.33
5612,Birthday Party Bash,Wii,2009,0.3,0,0,0.02,0.32
6387,Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009,0.24,0.01,0,0.02,0.27
6605,Nickelodeon Dance,Wii,2011,0.23,0.01,0,0.02,0.26
6689,Wheel of Fortune,N64,1997,0.2,0.05,0,0,0.25
6955,New Carnival Games,DS,2010,0.16,0.05,0,0.02,0.23
7366,World Poker Tour,PS2,2005,0.1,0.08,0,0.03,0.21
7594,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,0.19,0,0,0.01,0.2
7755,"Ni Hao, Kai-lan: Super Game Day",Wii,2009,0.18,0,0,0.01,0.19
9256,Let's Cheer,X360,2011,0.12,0,0,0.01,0.14
10014,Nickelodeon Dance,X360,2011,0.08,0.02,0,0.01,0.11
10147,Dora's Big Birthday Adventure,Wii,2010,0.1,0.01,0,0.01,0.11
10518,Dora's Cooking Club,DS,2010,0.08,0.01,0,0.01,0.1
10902,Dora the Explorer: Dora Saves the Crystal Kingdom,PS2,2009,0.05,0.04,0,0.01,0.09
10966,Dora's Big Birthday Adventure,DS,2010,0.08,0.01,0,0.01,0.09
10996,Beaterator,PSP,2009,0.06,0.02,0,0.02,0.09
11044,Carnival Games: Wild West 3D,3DS,2011,0.06,0.02,0,0.01,0.09
11450,Smuggler's Run: Warzones,GC,2002,0.06,0.02,0,0,0.08
11661,"Ni Hao, Kai-lan: Super Game Day",PS2,2009,0.04,0.03,0,0.01,0.08
12268,World Poker Tour,XB,2005,0.05,0.01,0,0,0.06
13650,World Poker Tour,PSP,2006,0.04,0,0,0,0.04
13845,Dora's Big Birthday Adventure,PS2,2010,0.02,0.01,0,0,0.04
16074,World Poker Tour,GBA,2005,0.01,0,0,0,0.01
