Rank,Name,Platform,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2175,Wheel of Fortune,PS2,N/A,0.47,0.36,0,0.12,0.95
2288,Namco Museum,XB,N/A,0.77,0.11,0,0.04,0.91
2297,Rhythm Heaven,Wii,N/A,0.13,0,0.77,0.01,0.9
2493,The Game of Life,PS,1998,0.46,0.31,0,0.05,0.83
6213,Pac-Man Fever,GC,N/A,0.21,0.06,0,0.01,0.28
6403,Rock Revolution,PS3,N/A,0.25,0,0,0.02,0.27
6779,Mega Man X Collection,PS2,N/A,0.12,0.09,0,0.03,0.24
6921,Danganronpa: Trigger Happy Havoc,PSP,N/A,0,0,0.24,0,0.24
7255,Yoostar2,X360,2011,0.11,0.09,0,0.02,0.22
7374,Now! That's What I Call Music: Dance & Sing,Wii,2011,0,0.18,0,0.04,0.21
8622,Vegas Party,Wii,N/A,0.15,0,0,0.01,0.16
8827,Kids Learn Math: A+ Edition,DS,2011,0.14,0,0,0.01,0.15
9207,Power Gig: Rise of the SixString,PS3,2010,0.13,0,0,0.01,0.14
9842,Rocksmith,PC,N/A,0.06,0.04,0,0.01,0.12
9884,Power Gig: Rise of the SixString,X360,2010,0.11,0,0,0.01,0.12
10196,Yoostar2,PS3,2011,0.04,0.05,0,0.02,0.11
11109,Thomas & Friends: Hero of the Rails,DS,2010,0,0.07,0,0.01,0.09
11545,Rock Revolution,Wii,N/A,0.07,0,0,0.01,0.08
12129,Build-A-Bear Workshop: Friendship Valley,Wii,N/A,0.06,0,0,0,0.07
12137,Yoostar on MTV,X360,N/A,0.06,0,0,0,0.07
12214,National Geographic Challenge!,X360,N/A,0.06,0,0,0,0.07
12881,Reader Rabbit 2nd Grade,Wii,N/A,0.05,0,0,0,0.05
13071,Kids Learn Music A+ Edition,DS,2011,0.05,0,0,0,0.05
14111,Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010,0,0,0.03,0,0.03
14257,Beastly,Wii,2011,0.03,0,0,0,0.03
14564,Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011,0,0,0.03,0,0.03
14620,Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011,0,0,0.03,0,0.03
15001,Payout Poker & Casino,PSP,N/A,0.02,0,0,0,0.02
15276,Thomas & Friends: Hero of the Rails,Wii,2010,0,0.02,0,0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,N/A,0,0,0.02,0,0.02
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,2006,0.02,0,0,0,0.02
